Datum Zeit; Dresden-Nord CO
; mg/m3
30-12-15; n. def.
29-12-15; n. def.
28-12-15; n. def.
27-12-15; n. def.
26-12-15; n. def.
25-12-15; n. def.
24-12-15; n. def.
23-12-15; n. def.
22-12-15; n. def.
21-12-15; n. def.
20-12-15; n. def.
19-12-15; n. def.
18-12-15; n. def.
17-12-15; n. def.
16-12-15; n. def.
15-12-15; n. def.
14-12-15; n. def.
13-12-15; n. def.
12-12-15; n. def.
11-12-15; n. def.
10-12-15; n. def.
09-12-15; n. def.
08-12-15; n. def.
07-12-15; n. def.
06-12-15; n. def.
05-12-15; n. def.
04-12-15; n. def.
03-12-15; n. def.
02-12-15; n. def.
01-12-15; n. def.
30-11-15; n. def.
29-11-15; n. def.
28-11-15; n. def.
27-11-15; n. def.
26-11-15; n. def.
25-11-15; n. def.
24-11-15; n. def.
23-11-15; n. def.
22-11-15; n. def.
21-11-15; n. def.
20-11-15; n. def.
19-11-15; n. def.
18-11-15; n. def.
17-11-15; n. def.
16-11-15; n. def.
15-11-15; n. def.
14-11-15; n. def.
13-11-15; n. def.
12-11-15; n. def.
11-11-15; n. def.
10-11-15; n. def.
09-11-15; n. def.
08-11-15; n. def.
07-11-15; n. def.
06-11-15; n. def.
05-11-15; n. def.
04-11-15; n. def.
03-11-15; n. def.
02-11-15; n. def.
01-11-15; n. def.
31-10-15; n. def.
30-10-15; n. def.
29-10-15; n. def.
28-10-15; n. def.
27-10-15; n. def.
26-10-15; n. def.
25-10-15; n. def.
24-10-15; n. def.
23-10-15; n. def.
22-10-15; n. def.
21-10-15; n. def.
20-10-15; n. def.
19-10-15; n. def.
18-10-15; n. def.
17-10-15; n. def.
16-10-15; n. def.
15-10-15; n. def.
14-10-15; n. def.
13-10-15; n. def.
12-10-15; n. def.
11-10-15; n. def.
10-10-15; n. def.
09-10-15; n. def.
08-10-15; n. def.
07-10-15; n. def.
06-10-15; n. def.
05-10-15; n. def.
04-10-15; n. def.
03-10-15; n. def.
02-10-15; n. def.
01-10-15; n. def.
30-09-15; n. def.
29-09-15; n. def.
28-09-15; n. def.
27-09-15; n. def.
26-09-15; n. def.
25-09-15; n. def.
24-09-15; n. def.
23-09-15; n. def.
22-09-15; n. def.
21-09-15; n. def.
20-09-15; n. def.
19-09-15; n. def.
18-09-15; n. def.
17-09-15; n. def.
16-09-15; n. def.
15-09-15; n. def.
14-09-15; n. def.
13-09-15; n. def.
12-09-15; n. def.
11-09-15; n. def.
10-09-15; n. def.
09-09-15; n. def.
08-09-15; n. def.
07-09-15; n. def.
06-09-15; n. def.
05-09-15; n. def.
04-09-15; n. def.
03-09-15; n. def.
02-09-15; n. def.
01-09-15; n. def.
31-08-15; n. def.
30-08-15; n. def.
29-08-15; n. def.
28-08-15; n. def.
27-08-15; n. def.
26-08-15; n. def.
25-08-15; n. def.
24-08-15; n. def.
23-08-15; n. def.
22-08-15; n. def.
21-08-15; n. def.
20-08-15; n. def.
19-08-15; n. def.
18-08-15; n. def.
17-08-15; n. def.
16-08-15; n. def.
15-08-15; n. def.
14-08-15; n. def.
13-08-15; n. def.
12-08-15; n. def.
11-08-15; n. def.
10-08-15; n. def.
09-08-15; n. def.
08-08-15; n. def.
07-08-15; n. def.
06-08-15; n. def.
05-08-15; n. def.
04-08-15; n. def.
03-08-15; n. def.
02-08-15; n. def.
01-08-15; n. def.
31-07-15; n. def.
30-07-15; n. def.
29-07-15; n. def.
28-07-15; n. def.
27-07-15; n. def.
26-07-15; n. def.
25-07-15; n. def.
24-07-15; n. def.
23-07-15; n. def.
22-07-15; n. def.
21-07-15; n. def.
20-07-15; n. def.
19-07-15; n. def.
18-07-15; n. def.
17-07-15; n. def.
16-07-15; n. def.
15-07-15; n. def.
14-07-15; n. def.
13-07-15; n. def.
12-07-15; n. def.
11-07-15; n. def.
10-07-15; n. def.
09-07-15; n. def.
08-07-15; n. def.
07-07-15; n. def.
06-07-15; n. def.
05-07-15; n. def.
04-07-15; n. def.
03-07-15; n. def.
02-07-15; n. def.
01-07-15; n. def.
30-06-15; n. def.
29-06-15; n. def.
28-06-15; n. def.
27-06-15; n. def.
26-06-15; n. def.
25-06-15; n. def.
24-06-15; n. def.
23-06-15; n. def.
22-06-15; n. def.
21-06-15; n. def.
20-06-15; n. def.
19-06-15; n. def.
18-06-15; n. def.
17-06-15; n. def.
16-06-15; n. def.
15-06-15; n. def.
14-06-15; n. def.
13-06-15; n. def.
12-06-15; n. def.
11-06-15; n. def.
10-06-15; n. def.
09-06-15; n. def.
08-06-15; n. def.
07-06-15; n. def.
06-06-15; n. def.
05-06-15; n. def.
04-06-15; n. def.
03-06-15; n. def.
02-06-15; n. def.
01-06-15; n. def.
31-05-15; n. def.
30-05-15; n. def.
29-05-15; n. def.
28-05-15; n. def.
27-05-15; n. def.
26-05-15; n. def.
25-05-15; n. def.
24-05-15; n. def.
23-05-15; n. def.
22-05-15; n. def.
21-05-15; n. def.
20-05-15; n. def.
19-05-15; n. def.
18-05-15; n. def.
17-05-15; n. def.
16-05-15; n. def.
15-05-15; n. def.
14-05-15; n. def.
13-05-15; n. def.
12-05-15; n. def.
11-05-15; n. def.
10-05-15; n. def.
09-05-15; n. def.
08-05-15; n. def.
07-05-15; n. def.
06-05-15; n. def.
05-05-15; n. def.
04-05-15; n. def.
03-05-15; n. def.
02-05-15; n. def.
01-05-15; n. def.
30-04-15; n. def.
29-04-15; n. def.
28-04-15; n. def.
27-04-15; n. def.
26-04-15; n. def.
25-04-15; n. def.
24-04-15; n. def.
23-04-15; n. def.
22-04-15; n. def.
21-04-15; n. def.
20-04-15; n. def.
19-04-15; n. def.
18-04-15; n. def.
17-04-15; n. def.
16-04-15; n. def.
15-04-15; n. def.
14-04-15; n. def.
13-04-15; n. def.
12-04-15; n. def.
11-04-15; n. def.
10-04-15; n. def.
09-04-15; n. def.
08-04-15; n. def.
07-04-15; n. def.
06-04-15; n. def.
05-04-15; n. def.
04-04-15; n. def.
03-04-15; n. def.
02-04-15; n. def.
01-04-15; n. def.
31-03-15; n. def.
30-03-15; n. def.
29-03-15; n. def.
28-03-15; n. def.
27-03-15; n. def.
26-03-15; n. def.
25-03-15; n. def.
24-03-15; n. def.
23-03-15; n. def.
22-03-15; n. def.
21-03-15; n. def.
20-03-15; n. def.
19-03-15; n. def.
18-03-15; n. def.
17-03-15; n. def.
16-03-15; n. def.
15-03-15; n. def.
14-03-15; n. def.
13-03-15; n. def.
12-03-15; n. def.
11-03-15; n. def.
10-03-15; n. def.
09-03-15; n. def.
08-03-15; n. def.
07-03-15; n. def.
06-03-15; n. def.
05-03-15; n. def.
04-03-15; n. def.
03-03-15; n. def.
02-03-15; n. def.
01-03-15; n. def.
28-02-15; n. def.
27-02-15; n. def.
26-02-15; n. def.
25-02-15; n. def.
24-02-15; n. def.
23-02-15; n. def.
22-02-15; n. def.
21-02-15; n. def.
20-02-15; n. def.
19-02-15; n. def.
18-02-15; n. def.
17-02-15; n. def.
16-02-15; n. def.
15-02-15; n. def.
14-02-15; n. def.
13-02-15; n. def.
12-02-15; n. def.
11-02-15; n. def.
10-02-15; n. def.
09-02-15; n. def.
08-02-15; n. def.
07-02-15; n. def.
06-02-15; n. def.
05-02-15; n. def.
04-02-15; n. def.
03-02-15; n. def.
02-02-15; n. def.
01-02-15; n. def.
31-01-15; n. def.
30-01-15; n. def.
29-01-15; n. def.
28-01-15; n. def.
27-01-15; n. def.
26-01-15; n. def.
25-01-15; n. def.
24-01-15; n. def.
23-01-15; n. def.
22-01-15; n. def.
21-01-15; n. def.
20-01-15; n. def.
19-01-15; n. def.
18-01-15; n. def.
17-01-15; n. def.
16-01-15; n. def.
15-01-15; n. def.
14-01-15; n. def.
13-01-15; n. def.
12-01-15; n. def.
11-01-15; n. def.
10-01-15; n. def.
09-01-15; n. def.
08-01-15; n. def.
07-01-15; n. def.
06-01-15; n. def.
05-01-15; n. def.
04-01-15; n. def.
03-01-15; n. def.
02-01-15; n. def.
01-01-15; n. def.

Datum Zeit; Dresden-Bergstraße PM10_Pb; Dresden-Nord PM10_Pb; Dresden-Winckelmannstr. PM10_Pb
; ng/m3; ng/m3; ng/m3
30-12-15; n. def.; n. def.; n. def.
29-12-15; n. def.; 6,11; n. def.
28-12-15; n. def.; n. def.; n. def.
27-12-15; n. def.; n. def.; n. def.
26-12-15; n. def.; n. def.; n. def.
25-12-15; n. def.; n. def.; n. def.
24-12-15; n. def.; n. def.; n. def.
23-12-15; n. def.; 3,80; n. def.
22-12-15; n. def.; n. def.; n. def.
21-12-15; n. def.; n. def.; n. def.
20-12-15; n. def.; n. def.; n. def.
19-12-15; n. def.; n. def.; n. def.
18-12-15; n. def.; n. def.; n. def.
17-12-15; n. def.; 8,29; n. def.
16-12-15; n. def.; n. def.; n. def.
15-12-15; n. def.; n. def.; n. def.
14-12-15; n. def.; n. def.; n. def.
13-12-15; n. def.; n. def.; n. def.
12-12-15; n. def.; n. def.; n. def.
11-12-15; n. def.; 7,63; n. def.
10-12-15; n. def.; n. def.; n. def.
09-12-15; n. def.; n. def.; n. def.
08-12-15; n. def.; n. def.; n. def.
07-12-15; n. def.; n. def.; n. def.
06-12-15; n. def.; n. def.; n. def.
05-12-15; n. def.; 6,66; n. def.
04-12-15; n. def.; n. def.; n. def.
03-12-15; n. def.; n. def.; n. def.
02-12-15; n. def.; n. def.; n. def.
01-12-15; n. def.; n. def.; n. def.
30-11-15; n. def.; n. def.; n. def.
29-11-15; n. def.; 11,04; n. def.
28-11-15; n. def.; n. def.; n. def.
27-11-15; n. def.; n. def.; n. def.
26-11-15; n. def.; n. def.; n. def.
25-11-15; n. def.; n. def.; n. def.
24-11-15; n. def.; n. def.; n. def.
23-11-15; n. def.; 4,27; n. def.
22-11-15; n. def.; n. def.; n. def.
21-11-15; n. def.; n. def.; n. def.
20-11-15; n. def.; n. def.; n. def.
19-11-15; n. def.; n. def.; n. def.
18-11-15; n. def.; n. def.; n. def.
17-11-15; n. def.; 5,87; n. def.
16-11-15; n. def.; n. def.; n. def.
15-11-15; n. def.; n. def.; n. def.
14-11-15; n. def.; n. def.; n. def.
13-11-15; n. def.; n. def.; n. def.
12-11-15; n. def.; n. def.; n. def.
11-11-15; n. def.; 4,16; n. def.
10-11-15; n. def.; n. def.; n. def.
09-11-15; n. def.; n. def.; n. def.
08-11-15; n. def.; n. def.; n. def.
07-11-15; n. def.; n. def.; n. def.
06-11-15; n. def.; n. def.; n. def.
05-11-15; n. def.; 26,53; n. def.
04-11-15; n. def.; n. def.; n. def.
03-11-15; n. def.; n. def.; n. def.
02-11-15; n. def.; n. def.; n. def.
01-11-15; n. def.; n. def.; n. def.
31-10-15; n. def.; n. def.; n. def.
30-10-15; n. def.; 14,72; n. def.
29-10-15; n. def.; n. def.; n. def.
28-10-15; n. def.; n. def.; n. def.
27-10-15; n. def.; n. def.; n. def.
26-10-15; n. def.; n. def.; n. def.
25-10-15; n. def.; n. def.; n. def.
24-10-15; n. def.; 23,65; n. def.
23-10-15; n. def.; n. def.; n. def.
22-10-15; n. def.; n. def.; n. def.
21-10-15; n. def.; n. def.; n. def.
20-10-15; n. def.; n. def.; n. def.
19-10-15; n. def.; n. def.; n. def.
18-10-15; n. def.; 11,58; n. def.
17-10-15; n. def.; n. def.; n. def.
16-10-15; n. def.; n. def.; n. def.
