Datum Zeit; Dresden-Nord CO
; mg/m3
30-12-13; n. def.
29-12-13; n. def.
28-12-13; n. def.
27-12-13; n. def.
26-12-13; n. def.
25-12-13; n. def.
24-12-13; n. def.
23-12-13; n. def.
22-12-13; n. def.
21-12-13; n. def.
20-12-13; n. def.
19-12-13; n. def.
18-12-13; n. def.
17-12-13; n. def.
16-12-13; n. def.
15-12-13; n. def.
14-12-13; n. def.
13-12-13; n. def.
12-12-13; n. def.
11-12-13; n. def.
10-12-13; n. def.
09-12-13; n. def.
08-12-13; n. def.
07-12-13; n. def.
06-12-13; n. def.
05-12-13; n. def.
04-12-13; n. def.
03-12-13; n. def.
02-12-13; n. def.
01-12-13; n. def.
30-11-13; n. def.
29-11-13; n. def.
28-11-13; n. def.
27-11-13; n. def.
26-11-13; n. def.
25-11-13; n. def.
24-11-13; n. def.
23-11-13; n. def.
22-11-13; n. def.
21-11-13; n. def.
20-11-13; n. def.
19-11-13; n. def.
18-11-13; n. def.
17-11-13; n. def.
16-11-13; n. def.
15-11-13; n. def.
14-11-13; n. def.
13-11-13; n. def.
12-11-13; n. def.
11-11-13; n. def.
10-11-13; n. def.
09-11-13; n. def.
08-11-13; n. def.
07-11-13; n. def.
06-11-13; n. def.
05-11-13; n. def.
04-11-13; n. def.
03-11-13; n. def.
02-11-13; n. def.
01-11-13; n. def.
31-10-13; n. def.
30-10-13; n. def.
29-10-13; n. def.
28-10-13; n. def.
27-10-13; n. def.
26-10-13; n. def.
25-10-13; n. def.
24-10-13; n. def.
23-10-13; n. def.
22-10-13; n. def.
21-10-13; n. def.
20-10-13; n. def.
19-10-13; n. def.
18-10-13; n. def.
17-10-13; n. def.
16-10-13; n. def.
15-10-13; n. def.
14-10-13; n. def.
13-10-13; n. def.
12-10-13; n. def.
11-10-13; n. def.
10-10-13; n. def.
09-10-13; n. def.
08-10-13; n. def.
07-10-13; n. def.
06-10-13; n. def.
05-10-13; n. def.
04-10-13; n. def.
03-10-13; n. def.
02-10-13; n. def.
01-10-13; n. def.
30-09-13; n. def.
29-09-13; n. def.
28-09-13; n. def.
27-09-13; n. def.
26-09-13; n. def.
25-09-13; n. def.
24-09-13; n. def.
23-09-13; n. def.
22-09-13; n. def.
21-09-13; n. def.
20-09-13; n. def.
19-09-13; n. def.
18-09-13; n. def.
17-09-13; n. def.
16-09-13; n. def.
15-09-13; n. def.
14-09-13; n. def.
13-09-13; n. def.
12-09-13; n. def.
11-09-13; n. def.
10-09-13; n. def.
09-09-13; n. def.
08-09-13; n. def.
07-09-13; n. def.
06-09-13; n. def.
05-09-13; n. def.
04-09-13; n. def.
03-09-13; n. def.
02-09-13; n. def.
01-09-13; n. def.
31-08-13; n. def.
30-08-13; n. def.
29-08-13; n. def.
28-08-13; n. def.
27-08-13; n. def.
26-08-13; n. def.
25-08-13; n. def.
24-08-13; n. def.
23-08-13; n. def.
22-08-13; n. def.
21-08-13; n. def.
20-08-13; n. def.
19-08-13; n. def.
18-08-13; n. def.
17-08-13; n. def.
16-08-13; n. def.
15-08-13; n. def.
14-08-13; n. def.
13-08-13; n. def.
12-08-13; n. def.
11-08-13; n. def.
10-08-13; n. def.
09-08-13; n. def.
08-08-13; n. def.
07-08-13; n. def.
06-08-13; n. def.
05-08-13; n. def.
04-08-13; n. def.
03-08-13; n. def.
02-08-13; n. def.
01-08-13; n. def.
31-07-13; n. def.
30-07-13; n. def.
29-07-13; n. def.
28-07-13; n. def.
27-07-13; n. def.
26-07-13; n. def.
25-07-13; n. def.
24-07-13; n. def.
23-07-13; n. def.
22-07-13; n. def.
21-07-13; n. def.
20-07-13; n. def.
19-07-13; n. def.
18-07-13; n. def.
17-07-13; n. def.
16-07-13; n. def.
15-07-13; n. def.
14-07-13; n. def.
13-07-13; n. def.
12-07-13; n. def.
11-07-13; n. def.
10-07-13; n. def.
09-07-13; n. def.
08-07-13; n. def.
07-07-13; n. def.
06-07-13; n. def.
05-07-13; n. def.
04-07-13; n. def.
03-07-13; n. def.
02-07-13; n. def.
01-07-13; n. def.
30-06-13; n. def.
29-06-13; n. def.
28-06-13; n. def.
27-06-13; n. def.
26-06-13; n. def.
25-06-13; n. def.
24-06-13; n. def.
23-06-13; n. def.
22-06-13; n. def.
21-06-13; n. def.
20-06-13; n. def.
19-06-13; n. def.
18-06-13; n. def.
17-06-13; n. def.
16-06-13; n. def.
15-06-13; n. def.
14-06-13; n. def.
13-06-13; n. def.
12-06-13; n. def.
11-06-13; n. def.
10-06-13; n. def.
09-06-13; n. def.
08-06-13; n. def.
07-06-13; n. def.
06-06-13; n. def.
05-06-13; n. def.
04-06-13; n. def.
03-06-13; n. def.
02-06-13; n. def.
01-06-13; n. def.
31-05-13; n. def.
30-05-13; n. def.
29-05-13; n. def.
28-05-13; n. def.
27-05-13; n. def.
26-05-13; n. def.
25-05-13; n. def.
24-05-13; n. def.
23-05-13; n. def.
22-05-13; n. def.
21-05-13; n. def.
20-05-13; n. def.
19-05-13; n. def.
18-05-13; n. def.
17-05-13; n. def.
16-05-13; n. def.
15-05-13; n. def.
14-05-13; n. def.
13-05-13; n. def.
12-05-13; n. def.
11-05-13; n. def.
10-05-13; n. def.
09-05-13; n. def.
08-05-13; n. def.
07-05-13; n. def.
06-05-13; n. def.
05-05-13; n. def.
04-05-13; n. def.
03-05-13; n. def.
02-05-13; n. def.
01-05-13; n. def.
30-04-13; n. def.
29-04-13; n. def.
28-04-13; n. def.
27-04-13; n. def.
26-04-13; n. def.
25-04-13; n. def.
24-04-13; n. def.
23-04-13; n. def.
22-04-13; n. def.
21-04-13; n. def.
20-04-13; n. def.
19-04-13; n. def.
18-04-13; n. def.
17-04-13; n. def.
16-04-13; n. def.
15-04-13; n. def.
14-04-13; n. def.
13-04-13; n. def.
12-04-13; n. def.
11-04-13; n. def.
10-04-13; n. def.
09-04-13; n. def.
08-04-13; n. def.
07-04-13; n. def.
06-04-13; n. def.
05-04-13; n. def.
04-04-13; n. def.
03-04-13; n. def.
02-04-13; n. def.
01-04-13; n. def.
31-03-13; n. def.
30-03-13; n. def.
29-03-13; n. def.
28-03-13; n. def.
27-03-13; n. def.
26-03-13; n. def.
25-03-13; n. def.
24-03-13; n. def.
23-03-13; n. def.
22-03-13; n. def.
21-03-13; n. def.
20-03-13; n. def.
19-03-13; n. def.
18-03-13; n. def.
17-03-13; n. def.
16-03-13; n. def.
15-03-13; n. def.
14-03-13; n. def.
13-03-13; n. def.
12-03-13; n. def.
11-03-13; n. def.
10-03-13; n. def.
09-03-13; n. def.
08-03-13; n. def.
07-03-13; n. def.
06-03-13; n. def.
05-03-13; n. def.
04-03-13; n. def.
03-03-13; n. def.
02-03-13; n. def.
01-03-13; n. def.
28-02-13; n. def.
27-02-13; n. def.
26-02-13; n. def.
25-02-13; n. def.
24-02-13; n. def.
23-02-13; n. def.
22-02-13; n. def.
21-02-13; n. def.
20-02-13; n. def.
19-02-13; n. def.
18-02-13; n. def.
17-02-13; n. def.
16-02-13; n. def.
15-02-13; n. def.
14-02-13; n. def.
13-02-13; n. def.
12-02-13; n. def.
11-02-13; n. def.
10-02-13; n. def.
09-02-13; n. def.
08-02-13; n. def.
07-02-13; n. def.
06-02-13; n. def.
05-02-13; n. def.
04-02-13; n. def.
03-02-13; n. def.
02-02-13; n. def.
01-02-13; n. def.
31-01-13; n. def.
30-01-13; n. def.
29-01-13; n. def.
