Datum Zeit; Dresden-Nord CO
; mg/m3
30-12-16; n. def.
29-12-16; n. def.
28-12-16; n. def.
27-12-16; n. def.
26-12-16; n. def.
25-12-16; n. def.
24-12-16; n. def.
23-12-16; n. def.
22-12-16; n. def.
21-12-16; n. def.
20-12-16; n. def.
19-12-16; n. def.
18-12-16; n. def.
17-12-16; n. def.
16-12-16; n. def.
15-12-16; n. def.
14-12-16; n. def.
13-12-16; n. def.
12-12-16; n. def.
11-12-16; n. def.
10-12-16; n. def.
09-12-16; n. def.
08-12-16; n. def.
07-12-16; n. def.
06-12-16; n. def.
05-12-16; n. def.
04-12-16; n. def.
03-12-16; n. def.
02-12-16; n. def.
01-12-16; n. def.
30-11-16; n. def.
29-11-16; n. def.
28-11-16; n. def.
27-11-16; n. def.
26-11-16; n. def.
25-11-16; n. def.
24-11-16; n. def.
23-11-16; n. def.
22-11-16; n. def.
21-11-16; n. def.
20-11-16; n. def.
19-11-16; n. def.
18-11-16; n. def.
17-11-16; n. def.
16-11-16; n. def.
15-11-16; n. def.
14-11-16; n. def.
13-11-16; n. def.
12-11-16; n. def.
11-11-16; n. def.
10-11-16; n. def.
09-11-16; n. def.
08-11-16; n. def.
07-11-16; n. def.
06-11-16; n. def.
05-11-16; n. def.
04-11-16; n. def.
03-11-16; n. def.
02-11-16; n. def.
01-11-16; n. def.
31-10-16; n. def.
30-10-16; n. def.
29-10-16; n. def.
28-10-16; n. def.
27-10-16; n. def.
26-10-16; n. def.
25-10-16; n. def.
24-10-16; n. def.
23-10-16; n. def.
22-10-16; n. def.
21-10-16; n. def.
20-10-16; n. def.
19-10-16; n. def.
18-10-16; n. def.
17-10-16; n. def.
16-10-16; n. def.
15-10-16; n. def.
14-10-16; n. def.
13-10-16; n. def.
12-10-16; n. def.
11-10-16; n. def.
10-10-16; n. def.
09-10-16; n. def.
08-10-16; n. def.
07-10-16; n. def.
06-10-16; n. def.
05-10-16; n. def.
04-10-16; n. def.
03-10-16; n. def.
02-10-16; n. def.
01-10-16; n. def.
30-09-16; n. def.
29-09-16; n. def.
28-09-16; n. def.
27-09-16; n. def.
26-09-16; n. def.
25-09-16; n. def.
24-09-16; n. def.
23-09-16; n. def.
22-09-16; n. def.
21-09-16; n. def.
20-09-16; n. def.
19-09-16; n. def.
18-09-16; n. def.
17-09-16; n. def.
16-09-16; n. def.
15-09-16; n. def.
14-09-16; n. def.
13-09-16; n. def.
12-09-16; n. def.
11-09-16; n. def.
10-09-16; n. def.
09-09-16; n. def.
08-09-16; n. def.
07-09-16; n. def.
06-09-16; n. def.
05-09-16; n. def.
04-09-16; n. def.
03-09-16; n. def.
02-09-16; n. def.
01-09-16; n. def.
31-08-16; n. def.
30-08-16; n. def.
29-08-16; n. def.
28-08-16; n. def.
27-08-16; n. def.
26-08-16; n. def.
25-08-16; n. def.
24-08-16; n. def.
23-08-16; n. def.
22-08-16; n. def.
21-08-16; n. def.
20-08-16; n. def.
19-08-16; n. def.
18-08-16; n. def.
17-08-16; n. def.
16-08-16; n. def.
15-08-16; n. def.
14-08-16; n. def.
13-08-16; n. def.
12-08-16; n. def.
11-08-16; n. def.
10-08-16; n. def.
09-08-16; n. def.
08-08-16; n. def.
07-08-16; n. def.
06-08-16; n. def.
05-08-16; n. def.
04-08-16; n. def.
03-08-16; n. def.
02-08-16; n. def.
01-08-16; n. def.
31-07-16; n. def.
30-07-16; n. def.
29-07-16; n. def.
28-07-16; n. def.
27-07-16; n. def.
26-07-16; n. def.
25-07-16; n. def.
24-07-16; n. def.
23-07-16; n. def.
22-07-16; n. def.
21-07-16; n. def.
20-07-16; n. def.
19-07-16; n. def.
18-07-16; n. def.
17-07-16; n. def.
16-07-16; n. def.
15-07-16; n. def.
14-07-16; n. def.
13-07-16; n. def.
12-07-16; n. def.
11-07-16; n. def.
10-07-16; n. def.
09-07-16; n. def.
08-07-16; n. def.
07-07-16; n. def.
06-07-16; n. def.
05-07-16; n. def.
04-07-16; n. def.
03-07-16; n. def.
02-07-16; n. def.
01-07-16; n. def.
30-06-16; n. def.
29-06-16; n. def.
28-06-16; n. def.
27-06-16; n. def.
26-06-16; n. def.
25-06-16; n. def.
24-06-16; n. def.
23-06-16; n. def.
22-06-16; n. def.
21-06-16; n. def.
20-06-16; n. def.
19-06-16; n. def.
18-06-16; n. def.
17-06-16; n. def.
16-06-16; n. def.
15-06-16; n. def.
14-06-16; n. def.
13-06-16; n. def.
12-06-16; n. def.
11-06-16; n. def.
10-06-16; n. def.
09-06-16; n. def.
08-06-16; n. def.
07-06-16; n. def.
06-06-16; n. def.
05-06-16; n. def.
04-06-16; n. def.
03-06-16; n. def.
02-06-16; n. def.
01-06-16; n. def.
31-05-16; n. def.
30-05-16; n. def.
29-05-16; n. def.
28-05-16; n. def.
27-05-16; n. def.
26-05-16; n. def.
25-05-16; n. def.
24-05-16; n. def.
23-05-16; n. def.
22-05-16; n. def.
21-05-16; n. def.
20-05-16; n. def.
19-05-16; n. def.
18-05-16; n. def.
17-05-16; n. def.
16-05-16; n. def.
15-05-16; n. def.
14-05-16; n. def.
13-05-16; n. def.
12-05-16; n. def.
11-05-16; n. def.
10-05-16; n. def.
09-05-16; n. def.
08-05-16; n. def.
07-05-16; n. def.
06-05-16; n. def.
05-05-16; n. def.
04-05-16; n. def.
03-05-16; n. def.
02-05-16; n. def.
01-05-16; n. def.
30-04-16; n. def.
29-04-16; n. def.
28-04-16; n. def.
27-04-16; n. def.
26-04-16; n. def.
25-04-16; n. def.
24-04-16; n. def.
23-04-16; n. def.
22-04-16; n. def.
21-04-16; n. def.
20-04-16; n. def.
19-04-16; n. def.
18-04-16; n. def.
17-04-16; n. def.
16-04-16; n. def.
15-04-16; n. def.
14-04-16; n. def.
13-04-16; n. def.
12-04-16; n. def.
11-04-16; n. def.
10-04-16; n. def.
09-04-16; n. def.
08-04-16; n. def.
07-04-16; n. def.
06-04-16; n. def.
05-04-16; n. def.
04-04-16; n. def.
03-04-16; n. def.
02-04-16; n. def.
01-04-16; n. def.
31-03-16; n. def.
30-03-16; n. def.
29-03-16; n. def.
28-03-16; n. def.
27-03-16; n. def.
26-03-16; n. def.
25-03-16; n. def.
24-03-16; n. def.
23-03-16; n. def.
22-03-16; n. def.
21-03-16; n. def.
20-03-16; n. def.
19-03-16; n. def.
18-03-16; n. def.
17-03-16; n. def.
16-03-16; n. def.
15-03-16; n. def.
14-03-16; n. def.
13-03-16; n. def.
12-03-16; n. def.
11-03-16; n. def.
10-03-16; n. def.
09-03-16; n. def.
08-03-16; n. def.
07-03-16; n. def.
06-03-16; n. def.
05-03-16; n. def.
04-03-16; n. def.
03-03-16; n. def.
02-03-16; n. def.
01-03-16; n. def.
29-02-16; n. def.
28-02-16; n. def.
27-02-16; n. def.
26-02-16; n. def.
25-02-16; n. def.
24-02-16; n. def.
23-02-16; n. def.
22-02-16; n. def.
21-02-16; n. def.
20-02-16; n. def.
19-02-16; n. def.
18-02-16; n. def.
17-02-16; n. def.
16-02-16; n. def.
15-02-16; n. def.
14-02-16; n. def.
13-02-16; n. def.
12-02-16; n. def.
11-02-16; n. def.
10-02-16; n. def.
09-02-16; n. def.
08-02-16; n. def.
07-02-16; n. def.
06-02-16; n. def.
05-02-16; n. def.
04-02-16; n. def.
03-02-16; n. def.
02-02-16; n. def.
01-02-16; n. def.
31-01-16; n. def.
30-01-16; n. def.
29-01-16; n. def.
28-01-16; n. def.
27-01-16; n. def.
26-01-16; n. def.
25-01-16; n. def.
24-01-16; n. def.
23-01-16; n. def.
22-01-16; n. def.
21-01-16; n. def.
20-01-16; n. def.
19-01-16; n. def.
18-01-16; n. def.
17-01-16; n. def.
16-01-16; n. def.
15-01-16; n. def.
14-01-16; n. def.
13-01-16; n. def.
12-01-16; n. def.
11-01-16; n. def.
10-01-16; n. def.
09-01-16; n. def.
08-01-16; n. def.
07-01-16; n. def.
06-01-16; n. def.
05-01-16; n. def.
04-01-16; n. def.
03-01-16; n. def.
02-01-16; n. def.
01-01-16; n. def.

Datum Zeit; Dresden-Bergstraße PM10_Pb; Dresden-Nord PM10_Pb; Dresden-Winckelmannstr. PM10_Pb
; ng/m3; ng/m3; ng/m3
30-12-16; n. def.; n. def.; n. def.
29-12-16; n. def.; n. def.; n. def.
28-12-16; n. def.; n. def.; n. def.
27-12-16; n. def.; n. def.; n. def.
26-12-16; n. def.; n. def.; n. def.
25-12-16; n. def.; n. def.; n. def.
24-12-16; n. def.; n. def.; n. def.
23-12-16; n. def.; n. def.; n. def.
22-12-16; n. def.; n. def.; n. def.
21-12-16; n. def.; n. def.; n. def.
20-12-16; n. def.; n. def.; n. def.
19-12-16; n. def.; n. def.; n. def.
18-12-16; n. def.; n. def.; n. def.
17-12-16; n. def.; n. def.; n. def.
16-12-16; n. def.; n. def.; n. def.
15-12-16; n. def.; n. def.; n. def.
14-12-16; n. def.; n. def.; n. def.
13-12-16; n. def.; n. def.; n. def.
12-12-16; n. def.; n. def.; n. def.
11-12-16; n. def.; n. def.; n. def.
10-12-16; n. def.; n. def.; n. def.
09-12-16; n. def.; n. def.; n. def.
08-12-16; n. def.; n. def.; n. def.
07-12-16; n. def.; n. def.; n. def.
06-12-16; n. def.; n. def.; n. def.
05-12-16; n. def.; n. def.; n. def.
04-12-16; n. def.; n. def.; n. def.
03-12-16; n. def.; n. def.; n. def.
02-12-16; n. def.; n. def.; n. def.
01-12-16; n. def.; n. def.; n. def.
30-11-16; n. def.; n. def.; n. def.
29-11-16; n. def.; n. def.; n. def.
28-11-16; n. def.; n. def.; n. def.
27-11-16; n. def.; n. def.; n. def.
26-11-16; n. def.; n. def.; n. def.
25-11-16; n. def.; n. def.; n. def.
24-11-16; n. def.; n. def.; n. def.
23-11-16; n. def.; n. def.; n. def.
22-11-16; n. def.; n. def.; n. def.
21-11-16; n. def.; n. def.; n. def.
20-11-16; n. def.; n. def.; n. def.
19-11-16; n. def.; n. def.; n. def.
18-11-16; n. def.; n. def.; n. def.
17-11-16; n. def.; n. def.; n. def.
16-11-16; n. def.; n. def.; n. def.
15-11-16; n. def.; n. def.; n. def.
14-11-16; n. def.; n. def.; n. def.
13-11-16; n. def.; n. def.; n. def.
12-11-16; n. def.; n. def.; n. def.
11-11-16; n. def.; n. def.; n. def.
10-11-16; n. def.; n. def.; n. def.
09-11-16; n. def.; n. def.; n. def.
08-11-16; n. def.; n. def.; n. def.
07-11-16; n. def.; n. def.; n. def.
06-11-16; n. def.; n. def.; n. def.
05-11-16; n. def.; n. def.; n. def.
04-11-16; n. def.; n. def.; n. def.
03-11-16; n. def.; n. def.; n. def.
02-11-16; n. def.; n. def.; n. def.
01-11-16; n. def.; n. def.; n. def.
31-10-16; n. def.; n. def.; n. def.
30-10-16; n. def.; n. def.; n. def.
29-10-16; n. def.; n. def.; n. def.
28-10-16; n. def.; n. def.; n. def.
27-10-16; n. def.; n. def.; n. def.
26-10-16; n. def.; n. def.; n. def.
25-10-16; n. def.; n. def.; n. def.
24-10-16; n. def.; n. def.; n. def.
23-10-16; n. def.; n. def.; n. def.
22-10-16; n. def.; n. def.; n. def.
21-10-16; n. def.; n. def.; n. def.
20-10-16; n. def.; n. def.; n. def.
19-10-16; n. def.; n. def.; n. def.
18-10-16; n. def.; n. def.; n. def.
17-10-16; n. def.; n. def.; n. def.
16-10-16; n. def.; n. def.; n. def.
15-10-16; n. def.; n. def.; n. def.
14-10-16; n. def.; n. def.; n. def.
13-10-16; n. def.; n. def.; n. def.
12-10-16; n. def.; n. def.; n. def.
11-10-16; n. def.; n. def.; n. def.
10-10-16; n. def.; n. def.; n. def.
09-10-16; n. def.; n. def.; n. def.
08-10-16; n. def.; n. def.; n. def.
07-10-16; n. def.; n. def.; n. def.
06-10-16; n. def.; n. def.; n. def.
05-10-16; n. def.; n. def.; n. def.
04-10-16; n. def.; n. def.; n. def.
03-10-16; n. def.; n. def.; n. def.
02-10-16; n. def.; n. def.; n. def.
01-10-16; n. def.; n. def.; n. def.
30-09-16; n. def.; n. def.; n. def.
29-09-16; n. def.; n. def.; n. def.
28-09-16; n. def.; n. def.; n. def.
27-09-16; n. def.; n. def.; n. def.
26-09-16; n. def.; n. def.; n. def.
25-09-16; n. def.; n. def.; n. def.
24-09-16; n. def.; n. def.; n. def.
23-09-16; n. def.; n. def.; n. def.
22-09-16; n. def.; n. def.; n. def.
21-09-16; n. def.; n. def.; n. def.
20-09-16; n. def.; n. def.; n. def.
19-09-16; n. def.; n. def.; n. def.
18-09-16; n. def.; n. def.; n. def.
17-09-16; n. def.; n. def.; n. def.
16-09-16; n. def.; n. def.; n. def.
15-09-16; n. def.; n. def.; n. def.
14-09-16; n. def.; n. def.; n. def.
13-09-16; n. def.; n. def.; n. def.
12-09-16; n. def.; n. def.; n. def.
11-09-16; n. def.; n. def.; n. def.
10-09-16; n. def.; n. def.; n. def.
09-09-16; n. def.; n. def.; n. def.
08-09-16; n. def.; n. def.; n. def.
07-09-16; n. def.; n. def.; n. def.
06-09-16; n. def.; n. def.; n. def.
05-09-16; n. def.; n. def.; n. def.
04-09-16; n. def.; n. def.; n. def.
03-09-16; n. def.; n. def.; n. def.
02-09-16; n. def.; n. def.; n. def.
01-09-16; n. def.; n. def.; n. def.
31-08-16; n. def.; 6,43; n. def.
30-08-16; n. def.; n. def.; n. def.
29-08-16; n. def.; n. def.; n. def.
28-08-16; n. def.; n. def.; n. def.
27-08-16; n. def.; n. def.; n. def.
26-08-16; n. def.; n. def.; n. def.
25-08-16; n. def.; 7,11; n. def.
24-08-16; n. def.; n. def.; n. def.
23-08-16; n. def.; n. def.; n. def.
22-08-16; n. def.; n. def.; n. def.
21-08-16; n. def.; n. def.; n. def.
20-08-16; n. def.; n. def.; n. def.
19-08-16; n. def.; 5,11; n. def.
18-08-16; n. def.; n. def.; n. def.
17-08-16; n. def.; n. def.; n. def.
16-08-16; n. def.; n. def.; n. def.
15-08-16; n. def.; n. def.; n. def.
14-08-16; n. def.; n. def.; n. def.
13-08-16; n. def.; 5,45; n. def.
12-08-16; n. def.; n. def.; n. def.
11-08-16; n. def.; n. def.; n. def.
10-08-16; n. def.; n. def.; n. def.
09-08-16; n. def.; n. def.; n. def.
08-08-16; n. def.; n. def.; n. def.
07-08-16; n. def.; 5,57; n. def.
06-08-16; n. def.; n. def.; n. def.
05-08-16; n. def.; n. def.; n. def.
04-08-16; n. def.; n. def.; n. def.
03-08-16; n. def.; n. def.; n. def.
02-08-16; n. def.; n. def.; n. def.
01-08-16; n. def.; 1,89; n. def.
31-07-16; n. def.; n. def.; n. def.
30-07-16; n. def.; n. def.; n. def.
29-07-16; n. def.; n. def.; n. def.
28-07-16; n. def.; n. def.; n. def.
27-07-16; n. def.; n. def.; n. def.
26-07-16; n. def.; 5,02; n. def.
25-07-16; n. def.; n. def.; n. def.
24-07-16; n. def.; n. def.; n. def.
23-07-16; n. def.; n. def.; n. def.
22-07-16; n. def.; n. def.; n. def.
21-07-16; n. def.; n. def.; n. def.
20-07-16; n. def.; 0,70; n. def.
19-07-16; n. def.; n. def.; n. def.
18-07-16; n. def.; n. def.; n. def.
17-07-16; n. def.; n. def.; n. def.
16-07-16; n. def.; n. def.; n. def.
15-07-16; n. def.; n. def.; n. def.
14-07-16; n. def.; 1,57; n. def.
13-07-16; n. def.; n. def.; n. def.
12-07-16; n. def.; n. def.; n. def.
11-07-16; n. def.; n. def.; n. def.
10-07-16; n. def.; n. def.; n. def.
09-07-16; n. def.; n. def.; n. def.
08-07-16; n. def.; 2,90; n. def.
07-07-16; n. def.; n. def.; n. def.
06-07-16; n. def.; n. def.; n. def.
05-07-16; n. def.; n. def.; n. def.
04-07-16; n. def.; n. def.; n. def.
03-07-16; n. def.; n. def.; n. def.
02-07-16; n. def.; 13,48; n. def.
01-07-16; n. def.; n. def.; n. def.
30-06-16; n. def.; n. def.; n. def.
29-06-16; n. def.; n. def.; n. def.
28-06-16; n. def.; n. def.; n. def.
27-06-16; n. def.; n. def.; n. def.
26-06-16; n. def.; 1,66; n. def.
25-06-16; n. def.; n. def.; n. def.
24-06-16; n. def.; n. def.; n. def.
23-06-16; n. def.; n. def.; n. def.
22-06-16; n. def.; n. def.; n. def.
21-06-16; n. def.; n. def.; n. def.
20-06-16; n. def.; 2,57; n. def.
19-06-16; n. def.; n. def.; n. def.
18-06-16; n. def.; n. def.; n. def.
17-06-16; n. def.; n. def.; n. def.
16-06-16; n. def.; n. def.; n. def.
15-06-16; n. def.; n. def.; n. def.
14-06-16; n. def.; 1,66; n. def.
13-06-16; n. def.; n. def.; n. def.
12-06-16; n. def.; n. def.; n. def.
11-06-16; n. def.; n. def.; n. def.
10-06-16; n. def.; n. def.; n. def.
09-06-16; n. def.; n. def.; n. def.
08-06-16; n. def.; 5,19; n. def.
07-06-16; n. def.; n. def.; n. def.
06-06-16; n. def.; n. def.; n. def.
05-06-16; n. def.; n. def.; n. def.
04-06-16; n. def.; n. def.; n. def.
03-06-16; n. def.; n. def.; n. def.
02-06-16; n. def.; 0,70; n. def.
01-06-16; n. def.; n. def.; n. def.
31-05-16; n. def.; n. def.; n. def.
30-05-16; n. def.; n. def.; n. def.
29-05-16; n. def.; n. def.; n. def.
28-05-16; n. def.; n. def.; n. def.
27-05-16; n. def.; 3,64; n. def.
26-05-16; n. def.; n. def.; n. def.
25-05-16; n. def.; n. def.; n. def.
24-05-16; n. def.; n. def.; n. def.
23-05-16; n. def.; n. def.; n. def.
22-05-16; n. def.; n. def.; n. def.
21-05-16; n. def.; 10,01; n. def.
20-05-16; n. def.; n. def.; n. def.
19-05-16; n. def.; n. def.; n. def.
18-05-16; n. def.; n. def.; n. def.
17-05-16; n. def.; n. def.; n. def.
16-05-16; n. def.; n. def.; n. def.
15-05-16; n. def.; 1,87; n. def.
14-05-16; n. def.; n. def.; n. def.
13-05-16; n. def.; n. def.; n. def.
12-05-16; n. def.; n. def.; n. def.
11-05-16; n. def.; n. def.; n. def.
10-05-16; n. def.; n. def.; n. def.
09-05-16; n. def.; 5,43; n. def.
08-05-16; n. def.; n. def.; n. def.
07-05-16; n. def.; n. def.; n. def.
06-05-16; n. def.; n. def.; n. def.
05-05-16; n. def.; n. def.; n. def.
04-05-16; n. def.; n. def.; n. def.
03-05-16; n. def.; 8,55; n. def.
02-05-16; n. def.; n. def.; n. def.
01-05-16; n. def.; n. def.; n. def.
30-04-16; n. def.; n. def.; n. def.
29-04-16; n. def.; n. def.; n. def.
28-04-16; n. def.; n. def.; n. def.
27-04-16; n. def.; 2,95; n. def.
26-04-16; n. def.; n. def.; n. def.
25-04-16; n. def.; n. def.; n. def.
24-04-16; n. def.; n. def.; n. def.
23-04-16; n. def.; n. def.; n. def.
22-04-16; n. def.; n. def.; n. def.
21-04-16; n. def.; 6,94; n. def.
20-04-16; n. def.; n. def.; n. def.
19-04-16; n. def.; n. def.; n. def.
18-04-16; n. def.; n. def.; n. def.
17-04-16; n. def.; n. def.; n. def.
16-04-16; n. def.; n. def.; n. def.
