"","Date","Time","BEN","NO","NO2","O3","PM10","PM2.5","SO"
"1","2016-07-24"," 08:00",NaN,4.22584541062802,10.975845410628,45.5555555555556,NaN,0,0
"2","2016-07-25"," 08:00",NaN,10.4480676328502,21.8647342995169,20.8888888888889,NaN,0,0
"3","2016-07-26"," 08:00",NaN,10.4480676328502,25.4202898550725,29.8888888888889,NaN,0,0
"4","2016-07-27"," 08:00",NaN,6.89251207729469,21.8647342995169,22.5555555555556,NaN,0,0
"5","2016-07-28"," 08:00",NaN,5.33695652173913,21.4202898550725,36.3333333333333,NaN,0,0
"6","2016-07-29"," 08:00",NaN,4.44806763285024,14.975845410628,50.5555555555556,NaN,0,0
"7","2016-07-30"," 08:00",NaN,4.22584541062802,10.3091787439614,51.2222222222222,NaN,0,0
"8","2016-07-31"," 08:00",NaN,4.22584541062802,11.8647342995169,26.2222222222222,NaN,0,0
"9","2016-08-01"," 08:00",NaN,4.89251207729469,16.0869565217391,40.3333333333333,NaN,0,0
"10","2016-08-02"," 08:00",NaN,7.11473429951691,26.975845410628,15.3333333333333,NaN,0,0
"11","2016-08-03"," 08:00",NaN,8.22584541062802,18.7536231884058,13.6666666666667,NaN,0,0
"12","2016-08-04"," 08:00",NaN,13.1147342995169,18.975845410628,7.77777777777778,NaN,0,0
"13","2016-08-05"," 08:00",NaN,4.44806763285024,18.3091787439614,32.2222222222222,NaN,0,0
"14","2016-08-06"," 08:00",NaN,4.22584541062802,12.5314009661836,40.4444444444444,NaN,0,0
"15","2016-08-07"," 08:00",NaN,4.44806763285024,12.0869565217391,38.6666666666667,NaN,0,0
"16","2016-08-08"," 08:00",NaN,7.33695652173913,23.1980676328502,44.8888888888889,NaN,0,0
"17","2016-08-09"," 08:00",NaN,4.22584541062802,20.3091787439614,36.8888888888889,NaN,0,0
"18","2016-08-10"," 08:00",NaN,7.11473429951691,22.7536231884058,31.1111111111111,NaN,0,0
"19","2016-08-11"," 08:00",NaN,8.0036231884058,18.5314009661836,25.4444444444444,NaN,0,0
"20","2016-08-12"," 08:00",NaN,4.44806763285024,14.5314009661836,41.2222222222222,NaN,0,0
"21","2016-08-13"," 08:00",NaN,4.89251207729469,12.3091787439614,16.5555555555556,NaN,0,0
"22","2016-08-14"," 08:00",NaN,4.22584541062802,14.0869565217391,36.7777777777778,NaN,0,0
"23","2016-08-15"," 08:00",NaN,21.5591787439614,27.6425120772947,8.33333333333333,NaN,0,0
"24","2016-08-16"," 08:00",NaN,14.225845410628,24.5314009661836,14.7777777777778,NaN,0,0
"25","2016-08-17"," 08:00",NaN,5.55917874396135,19.4202898550725,33.4444444444444,NaN,0,0
"26","2016-08-18"," 08:00",NaN,16.225845410628,20.5314009661836,11.5555555555556,NaN,0,0
"27","2016-08-19"," 08:00",NaN,10.4480676328502,27.6425120772947,20.1111111111111,NaN,0,0
"28","2016-08-20"," 08:00",NaN,4.44806763285024,18.7536231884058,47.5555555555556,NaN,0,0
"29","2016-08-21"," 08:00",NaN,4.22584541062802,12.0869565217391,36.8888888888889,NaN,0,0
"30","2016-08-22"," 08:00",NaN,6.22584541062802,20.0869565217391,25.7777777777778,NaN,0,0
"31","2016-08-23"," 08:00",NaN,5.78140096618357,16.5314009661836,30.2222222222222,NaN,0,0
"32","2016-08-24"," 08:00",NaN,13.5591787439614,20.975845410628,13.6666666666667,NaN,0,0
"33","2016-08-25"," 08:00",NaN,5.78140096618357,20.0869565217391,41.4444444444444,NaN,0,0
"34","2016-08-26"," 08:00",NaN,4.89251207729469,21.1980676328502,71.2222222222222,NaN,0,0
"35","2016-08-27"," 08:00",NaN,4.22584541062802,14.5314009661836,67.5555555555556,NaN,0,0
"36","2016-08-28"," 08:00",NaN,4.22584541062802,12.3091787439614,64.4444444444444,NaN,0,0
"37","2016-08-29"," 08:00",NaN,5.11473429951691,24.5314009661836,39.4444444444444,NaN,0,0
"38","2016-08-30"," 08:00",NaN,4.89251207729469,15.8647342995169,46.6666666666667,NaN,0,0
"39","2016-08-31"," 08:00",NaN,7.11473429951691,20.975845410628,27.4444444444444,NaN,0,0
"40","2016-09-01"," 08:00",NaN,6.89251207729469,29.4202898550725,29.5555555555556,NaN,0,0
"41","2016-09-02"," 08:00",NaN,22.225845410628,40.3091787439614,14.6666666666667,NaN,0,0
"42","2016-09-03"," 08:00",NaN,5.33695652173913,20.975845410628,30.3333333333333,NaN,0,0
"43","2016-09-04"," 08:00",NaN,4.22584541062802,14.3091787439614,68.1111111111111,NaN,0,0
"44","2016-09-05"," 08:00",NaN,4.44806763285024,16.0869565217391,32.7777777777778,NaN,0,0
"45","2016-09-06"," 08:00",NaN,5.55917874396135,18.7536231884058,22.8888888888889,NaN,0,0
"46","2016-09-07"," 08:00",NaN,20.225845410628,20.5314009661836,7.66666666666667,NaN,0,0
"47","2016-09-08"," 08:00",NaN,7.33695652173913,26.5314009661836,27.7777777777778,NaN,0,0
"48","2016-09-09"," 08:00",NaN,10.6702898550725,32.7536231884058,17.3333333333333,NaN,0,0
"49","2016-09-10"," 08:00",NaN,6.89251207729469,20.975845410628,23.6666666666667,NaN,0,0
"50","2016-09-11"," 08:00",NaN,4.22584541062802,13.1980676328502,51.6666666666667,NaN,0,0
"51","2016-09-12"," 08:00",NaN,9.11473429951691,35.4202898550725,21,NaN,0,0
"52","2016-09-13"," 08:00",NaN,14.225845410628,36.7536231884058,21.3333333333333,NaN,0,0
"53","2016-09-14"," 08:00",NaN,14.4480676328502,39.1980676328502,22.6666666666667,NaN,0,0
