Datum Zeit; BEN; NO; NO2; O3; PM2.5; PM10; SO2
; µg/m³; µg/m³; µg/m³; µg/m³; µg/m³; µg/m³; µg/m³
02-10-16 19:00; 0,0; 10; 15; 37; 0,00; 9; 0,0
02-10-16 19:30; ; ; ; ; ; ; 0,0
02-10-16 20:00; 0,0; 17; 18; 25; 0,00; 9; 0,0
02-10-16 20:30; ; ; ; ; ; ; 0,0
02-10-16 21:00; 0,0; 12; 17; 23; 0,00; 9; 0,0
02-10-16 21:30; ; ; ; ; ; ; 0,0
02-10-16 22:00; 0,0; 17; 18; 27; 0,00; 9; 0,0
02-10-16 22:30; ; ; ; ; ; ; 0,0
02-10-16 23:00; 0,0; 7; 12; 23; 0,00; 9; 0,0
02-10-16 23:30; ; ; ; ; ; ; 0,0
03-10-16 00:00; 0,0; 11; 14; 22; 0,00; 9; 0,0
03-10-16 00:30; ; ; ; ; ; ; 0,0
03-10-16 01:00; 0,0; 7; 14; 23; 0,00; 9; 0,0
03-10-16 01:30; ; ; ; ; ; ; 0,0
03-10-16 02:00; 0,0; 10; 12; 16; 0,00; 9; 0,0
03-10-16 02:30; ; ; ; ; ; ; 0,0
03-10-16 03:00; 0,0; 14; 14; 23; 0,00; 9; 0,0
03-10-16 03:30; ; ; ; ; ; ; 0,0
03-10-16 04:00; 0,0; 2; 10; 23; 0,00; 9; 0,0
03-10-16 04:30; ; ; ; ; ; ; 0,0
03-10-16 05:00; 0,0; 14; 11; 16; 0,00; 9; 0,0
03-10-16 05:30; ; ; ; ; ; ; 0,0
03-10-16 06:00; 0,0; 11; 11; 17; 0,00; 9; 0,0
03-10-16 06:30; ; ; ; ; ; ; 0,0
03-10-16 07:00; 0,0; 23; 12; 14; 0,00; 9; 0,0
03-10-16 07:30; ; ; ; ; ; ; 0,0
03-10-16 08:00; 0,0; 26; 18; 14; 0,00; 9; 0,0
03-10-16 08:30; ; ; ; ; ; ; 0,0
03-10-16 09:00; 0,0; 25; 15; 15; 0,00; 9; 0,0
03-10-16 09:30; ; ; ; ; ; ; 0,0
03-10-16 10:00; 0,0; 17; 13; 16; 0,00; 9; 0,0
03-10-16 10:30; ; ; ; ; ; ; 0,0
03-10-16 11:00; 0,0; 24; 17; 17; 0,00; 9; 0,0
03-10-16 11:30; ; ; ; ; ; ; 0,0
03-10-16 12:00; 0,0; 21; 15; 17; 0,00; 9; 0,0
03-10-16 12:30; ; ; ; ; ; ; 0,0
03-10-16 13:00; 0,0; 22; 18; 21; 0,00; 9; 0,0
03-10-16 13:30; ; ; ; ; ; ; 0,0
03-10-16 14:00; 0,0; 26; 20; 33; 0,00; 9; 0,0
03-10-16 14:30; ; ; ; ; ; ; 0,0
03-10-16 15:00; 0,0; 29; 22; 34; 0,00; 9; 0,0
03-10-16 15:30; ; ; ; ; ; ; 0,0
03-10-16 16:00; 0,0; 35; 25; 29; 0,00; 9; 0,0
03-10-16 16:30; ; ; ; ; ; ; 0,0
03-10-16 17:00; 0,0; 30; 22; 21; 0,00; 9; 0,0
03-10-16 17:30; ; ; ; ; ; ; 0,0
03-10-16 18:00; 0,0; 12; 14; 13; 0,00; 9; 0,0
03-10-16 18:30; ; ; ; ; ; ; 0,0
03-10-16 19:00; 0,0; 23; 25; 13; 0,00; 9; 0,0
03-10-16 19:30; ; ; ; ; ; ; 0,0
03-10-16 20:00; 0,0; 19; 24; 18; 0,00; 9; 0,0
03-10-16 20:30; ; ; ; ; ; ; 0,0
03-10-16 21:00; 0,0; 21; 21; 16; 0,00; 9; 0,0
03-10-16 21:30; ; ; ; ; ; ; 0,0
03-10-16 22:00; 0,0; 15; 23; 16; 0,00; 9; 0,0
03-10-16 22:30; ; ; ; ; ; ; 0,0
03-10-16 23:00; 0,0; 9; 11; 11; 0,00; 9; 0,0
03-10-16 23:30; ; ; ; ; ; ; 0,0
04-10-16 00:00; 0,0; 2; 6; 22; 0,00; 9; 0,0
04-10-16 00:30; ; ; ; ; ; ; 0,0
04-10-16 01:00; 0,0; 1; 7; 28; 0,00; 7; 0,0
04-10-16 01:30; ; ; ; ; ; ; 0,0
04-10-16 02:00; 0,0; 2; 6; 38; 0,00; 7; 0,0
04-10-16 02:30; ; ; ; ; ; ; 0,0
04-10-16 03:00; 0,0; 5; 9; 40; 0,00; 7; 0,0
04-10-16 03:30; ; ; ; ; ; ; 0,0
04-10-16 04:00; 0,0; 3; 8; 35; 0,00; 7; 0,0
04-10-16 04:30; ; ; ; ; ; ; 0,0
04-10-16 05:00; 0,0; 10; 13; 42; 0,00; 7; 0,0
04-10-16 05:30; ; ; ; ; ; ; 0,0
04-10-16 06:00; 0,0; 2; 7; 42; 0,00; 7; 0,0
04-10-16 06:30; ; ; ; ; ; ; 0,0
04-10-16 07:00; 0,0; 5; 9; 45; 0,00; 7; 0,0
04-10-16 07:30; ; ; ; ; ; ; 0,0
04-10-16 08:00; 0,0; 4; 8; 46; 0,00; 7; 0,0
04-10-16 08:30; ; ; ; ; ; ; 0,0
04-10-16 09:00; 0,0; 6; 9; 46; 0,00; 7; 0,0
04-10-16 09:30; ; ; ; ; ; ; 0,0
04-10-16 10:00; 0,0; 6; 9; 45; 0,00; 7; 0,0
04-10-16 10:30; ; ; ; ; ; ; 0,0
04-10-16 11:00; 0,0; 1; 4; 50; 0,00; 7; 0,0
04-10-16 11:30; ; ; ; ; ; ; 0,0
04-10-16 12:00; 0,0; 1; 4; 55; 0,00; 7; 0,0
04-10-16 12:30; ; ; ; ; ; ; 0,0
04-10-16 13:00; 0,0; 3; 5; 58; 0,00; 7; 0,0
04-10-16 13:30; ; ; ; ; ; ; 0,0
04-10-16 14:00; 0,0; 3; 5; 63; 0,00; 7; 0,0
04-10-16 14:30; ; ; ; ; ; ; 0,0
04-10-16 15:00; 0,0; 5; 8; 63; 0,00; 7; 0,0
04-10-16 15:30; ; ; ; ; ; ; 0,0
04-10-16 16:00; 0,0; 2; 6; 64; 0,00; 7; 0,0
04-10-16 16:30; ; ; ; ; ; ; 0,0
04-10-16 17:00; 0,0; 18; 22; 63; 0,00; 7; 0,0
04-10-16 17:30; ; ; ; ; ; ; 0,0
04-10-16 18:00; 0,0; 7; 14; 35; 0,00; 7; 0,0
04-10-16 18:30; ; ; ; ; ; ; 0,0
04-10-16 19:00; 0,0; 23; 31; 17; 0,00; 7; 0,0
04-10-16 19:30; ; ; ; ; ; ; 0,0
04-10-16 20:00; 0,0; 28; 29; 14; 0,00; 7; 0,0
04-10-16 20:30; ; ; ; ; ; ; 0,0
04-10-16 21:00; 0,0; 2; 9; 30; 0,00; 7; 0,0
04-10-16 21:30; ; ; ; ; ; ; 0,0
04-10-16 22:00; 0,0; 1; 5; 38; 0,00; 7; 0,0
04-10-16 22:30; ; ; ; ; ; ; 0,0
04-10-16 23:00; 0,0; 1; 5; 42; 0,00; 7; 0,0
04-10-16 23:30; ; ; ; ; ; ; 0,0
05-10-16 00:00; 0,0; 1; 5; 58; 0,00; 7; 0,0
05-10-16 00:30; ; ; ; ; ; ; 0,0
05-10-16 01:00; 0,0; 1; 4; 54; 0,00; 6; 0,0
05-10-16 01:30; ; ; ; ; ; ; 0,0
05-10-16 02:00; 0,0; 1; 6; 46; 0,00; 3; 0,0
05-10-16 02:30; ; ; ; ; ; ; 0,0
05-10-16 03:00; 0,0; 6; 10; 40; 0,00; 5; 0,0
05-10-16 03:30; ; ; ; ; ; ; 0,0
05-10-16 04:00; 0,0; 7; 12; 33; 0,00; 7; 0,0
05-10-16 04:30; ; ; ; ; ; ; 0,0
05-10-16 05:00; 0,0; 28; 18; 21; 0,00; 5; 0,0
05-10-16 05:30; ; ; ; ; ; ; 0,0
05-10-16 06:00; 0,0; 25; 22; 19; 0,00; 5; 0,0
05-10-16 06:30; ; ; ; ; ; ; 0,0
05-10-16 07:00; 0,0; 52; 32; 14; 0,00; 12; 0,0
05-10-16 07:30; ; ; ; ; ; ; 0,0
05-10-16 08:00; 0,0; 46; 25; 23; 0,00; 17; 0,0
05-10-16 08:30; ; ; ; ; ; ; 0,0
05-10-16 09:00; 0,0; 36; 22; 31; 0,00; 12; 0,0
05-10-16 09:30; ; ; ; ; ; ; 0,0
05-10-16 10:00; 0,0; 31; 20; 39; 0,00; 9; 0,0
05-10-16 10:30; ; ; ; ; ; ; 0,0
05-10-16 11:00; 0,0; 30; 18; 43; 0,00; 8; 0,0
05-10-16 11:30; ; ; ; ; ; ; 0,0
05-10-16 12:00; 0,0; 31; 21; 46; 0,00; 11; 0,0
05-10-16 12:30; ; ; ; ; ; ; 0,0
05-10-16 13:00; 0,0; 39; 23; 45; 0,00; 4; 0,0
05-10-16 13:30; ; ; ; ; ; ; 0,0
05-10-16 14:00; 0,0; 38; 21; 34; 0,00; 5; 0,0
05-10-16 14:30; ; ; ; ; ; ; 0,0
