Leipzig-Thekla
Dresden-Nord
Dresden-Bergstraße
Zinnwald
Annaberg-Buchholz
Goerlitz
Zittau-Ost
Zwickau-Werdauer Straße
Klingenthal
Borna
Brockau
Dresden-Winckelmannstr.
Plauen-DWD
Niesky
Glauchau
Radebeul-Wahnsdorf
Fichtelberg
Plauen-Sued
Leipzig-West
Chemnitz-Leipziger Str.
Schwartenberg
Collmberg
Chemnitz-Hans-Link-Straße
Bautzen
Chemnitz-Mitte
Leipzig-Luetzner Straße
Freiberg
Carlsfeld
Schkeuditz
Leipzig-Mitte
