Datum,Zeit,BEN,NO,NO2,O3,PM10_Pb,PM2.5,SO2
dd-mm-yy,hh:mm,µg/m³,µg/m³,µg/m³,µg/m³,ng/m3,µg/m³,µg/m³
2016-07-26,13:00,,1,6,114,,,
2016-07-26,13:30,,,,,,,0.0
2016-07-26,14:00,,2,11,105,,,
2016-07-26,14:30,,,,,,,0.0
2016-07-26,15:00,,1,8,110,,,
2016-07-26,15:30,,,,,,,0.0
2016-07-26,16:00,,1,6,115,,,
2016-07-26,16:30,,,,,,,0.0
2016-07-26,17:00,,1,6,116,,,
2016-07-26,17:30,,,,,,,0.0
2016-07-26,18:00,,1,8,111,,,
2016-07-26,18:30,,,,,,,0.0
2016-07-26,19:00,,1,8,108,,,
2016-07-26,19:30,,,,,,,0.0
2016-07-26,20:00,,1,12,95,,,
2016-07-26,20:30,,,,,,,0.0
2016-07-26,21:00,,1,14,84,,,
2016-07-26,21:30,,,,,,,0.0
2016-07-26,22:00,,1,18,69,,,
2016-07-26,22:30,,,,,,,0.0
2016-07-26,23:00,,1,19,47,,,
2016-07-26,23:30,,,,,,,0.0
2016-07-27,00:00,,1,17,41,,,
2016-07-27,00:30,,,,,,12.55,0.0
2016-07-27,01:00,,1,17,34,,,
2016-07-27,01:30,,,,,,,0.0
2016-07-27,02:00,,1,18,27,,,
2016-07-27,02:30,,,,,,,0.0
2016-07-27,03:00,,1,16,23,,,
2016-07-27,03:30,,,,,,,0.0
2016-07-27,04:00,,1,14,19,,,
2016-07-27,04:30,,,,,,,0.0
2016-07-27,05:00,,1,16,14,,,
2016-07-27,05:30,,,,,,,0.0
2016-07-27,06:00,,3,23,8,,,
2016-07-27,06:30,,,,,,,0.0
2016-07-27,07:00,,7,26,7,,,
2016-07-27,07:30,,,,,,,0.0
2016-07-27,08:00,,5,23,18,,,
2016-07-27,08:30,,,,,,,0.0
2016-07-27,09:00,,3,16,39,,,
2016-07-27,09:30,,,,,,,0.0
2016-07-27,10:00,,2,16,47,,,
2016-07-27,10:30,,,,,,,0.0
2016-07-27,11:00,,2,23,37,,,
2016-07-27,11:30,,,,,,,0.0
2016-07-27,12:00,,4,18,60,,,
2016-07-27,12:30,,,,,,,0.0
2016-07-27,13:00,,1,10,97,,,
2016-07-27,13:30,,,,,,,0.0
2016-07-27,14:00,,1,11,102,,,
2016-07-27,14:30,,,,,,,0.0
2016-07-27,15:00,,1,19,81,,,
2016-07-27,15:30,,,,,,,0.0
2016-07-27,16:00,,2,30,58,,,
2016-07-27,16:30,,,,,,,0.0
2016-07-27,17:00,,1,15,74,,,
2016-07-27,17:30,,,,,,,0.0
2016-07-27,18:00,,1,20,63,,,
2016-07-27,18:30,,,,,,,0.0
2016-07-27,19:00,,1,14,65,,,
2016-07-27,19:30,,,,,,,0.0
2016-07-27,20:00,,1,18,52,,,
2016-07-27,20:30,,,,,,,0.0
2016-07-27,21:00,,1,20,36,,,
2016-07-27,21:30,,,,,,,0.0
2016-07-27,22:00,,1,18,19,,,
2016-07-27,22:30,,,,,,,0.0
2016-07-27,23:00,,1,21,14,,,
2016-07-27,23:30,,,,,,,0.0
2016-07-28,00:00,,1,15,19,,,
2016-07-28,00:30,,,,,,10.85,0.0
2016-07-28,01:00,,1,17,14,,,
2016-07-28,01:30,,,,,,,0.0
2016-07-28,02:00,,1,16,11,,,
2016-07-28,02:30,,,,,,,0.0
2016-07-28,03:00,,1,9,21,,,
2016-07-28,03:30,,,,,,,0.0
2016-07-28,04:00,,1,11,17,,,
2016-07-28,04:30,,,,,,,0.0
2016-07-28,05:00,,2,16,9,,,
2016-07-28,05:30,,,,,,,0.0
2016-07-28,06:00,,1,19,17,,,
2016-07-28,06:30,,,,,,,0.0
2016-07-28,07:00,,3,27,20,,,
2016-07-28,07:30,,,,,,,0.0
2016-07-28,08:00,,3,22,42,,,
2016-07-28,08:30,,,,,,,0.0
2016-07-28,09:00,,2,14,56,,,
2016-07-28,09:30,,,,,,,0.0
2016-07-28,10:00,,1,10,80,,,
2016-07-28,10:30,,,,,,,0.0
2016-07-28,11:00,,1,10,92,,,
2016-07-28,11:30,,,,,,,0.0
2016-07-28,12:00,,1,10,98,,,
2016-07-28,12:30,,,,,,,0.0
2016-07-28,13:00,,1,8,103,,,
2016-07-28,13:30,,,,,,,0.0
2016-07-28,14:00,,1,7,105,,,
2016-07-28,14:30,,,,,,,0.0
2016-07-28,15:00,,1,7,104,,,
2016-07-28,15:30,,,,,,,0.0
2016-07-28,16:00,,1,8,100,,,
2016-07-28,16:30,,,,,,,0.0
2016-07-28,17:00,,1,7,101,,,
2016-07-28,17:30,,,,,,,0.0
2016-07-28,18:00,,1,6,104,,,
2016-07-28,18:30,,,,,,,0.0
2016-07-28,19:00,,1,12,96,,,
2016-07-28,19:30,,,,,,,0.0
2016-07-28,20:00,,1,19,85,,,
2016-07-28,20:30,,,,,,,0.0
2016-07-28,21:00,,1,39,50,,,
2016-07-28,21:30,,,,,,,0.0
2016-07-28,22:00,,1,28,50,,,
2016-07-28,22:30,,,,,,,0.0
2016-07-28,23:00,,1,16,48,,,
2016-07-28,23:30,,,,,,,0.0
2016-07-29,00:00,,1,11,44,,,
2016-07-29,00:30,,,,,,7.29,0.0
2016-07-29,01:00,,1,9,41,,,
2016-07-29,01:30,,,,,,,0.0
2016-07-29,02:00,,1,8,35,,,
2016-07-29,02:30,,,,,,,0.0
2016-07-29,03:00,,1,9,31,,,
2016-07-29,03:30,,,,,,,0.0
2016-07-29,04:00,,1,7,48,,,
2016-07-29,04:30,,,,,,,0.0
2016-07-29,05:00,,1,5,66,,,
2016-07-29,05:30,,,,,,,0.0
2016-07-29,06:00,,2,19,45,,,
2016-07-29,06:30,,,,,,,0.0
2016-07-29,07:00,,2,19,43,,,
2016-07-29,07:30,,,,,,,0.0
2016-07-29,08:00,,1,8,58,,,
2016-07-29,08:30,,,,,,,0.0
2016-07-29,09:00,,1,7,64,,,
2016-07-29,09:30,,,,,,,0.0
2016-07-29,10:00,,1,5,79,,,
2016-07-29,10:30,,,,,,,0.0
2016-07-29,11:00,,1,6,80,,,
2016-07-29,11:30,,,,,,,0.0
2016-07-29,12:00,,1,5,83,,,
2016-07-29,12:30,,,,,,,0.0
2016-07-29,13:00,,1,5,78,,,
2016-07-29,13:30,,,,,,,0.0
2016-07-29,14:00,,1,5,81,,,
2016-07-29,14:30,,,,,,,0.0
2016-07-29,15:00,,1,4,88,,,
2016-07-29,15:30,,,,,,,0.0
2016-07-29,16:00,,1,4,84,,,
2016-07-29,16:30,,,,,,,0.0
2016-07-29,17:00,,1,4,82,,,
2016-07-29,17:30,,,,,,,0.0
2016-07-29,18:00,,1,6,70,,,
2016-07-29,18:30,,,,,,,0.0
2016-07-29,19:00,,1,10,61,,,
2016-07-29,19:30,,,,,,,0.0
2016-07-29,20:00,,1,10,61,,,
2016-07-29,20:30,,,,,,,0.0
2016-07-29,21:00,,1,15,51,,,
2016-07-29,21:30,,,,,,,0.0
2016-07-29,22:00,,1,21,45,,,
2016-07-29,22:30,,,,,,,0.0
2016-07-29,23:00,,1,26,33,,,
2016-07-29,23:30,,,,,,,0.0
2016-07-30,00:00,,1,11,44,,,
2016-07-30,00:30,,,,,,6.26,0.0
2016-07-30,01:00,,1,6,52,,,
2016-07-30,01:30,,,,,,,0.0
2016-07-30,02:00,,1,6,49,,,
2016-07-30,02:30,,,,,,,0.0
2016-07-30,03:00,,1,7,45,,,
2016-07-30,03:30,,,,,,,0.0
2016-07-30,04:00,,1,9,41,,,
2016-07-30,04:30,,,,,,,0.0
2016-07-30,05:00,,1,6,47,,,
2016-07-30,05:30,,,,,,,0.0
2016-07-30,06:00,,1,4,54,,,
2016-07-30,06:30,,,,,,,0.0
2016-07-30,07:00,,1,5,49,,,
2016-07-30,07:30,,,,,,,0.0
2016-07-30,08:00,,1,5,52,,,
2016-07-30,08:30,,,,,,,0.0
2016-07-30,09:00,,1,3,61,,,
2016-07-30,09:30,,,,,,,0.0
2016-07-30,10:00,,1,2,70,,,
2016-07-30,10:30,,,,,,,0.0
2016-07-30,11:00,,1,2,72,,,
2016-07-30,11:30,,,,,,,0.0
2016-07-30,12:00,,1,2,71,,,
2016-07-30,12:30,,,,,,,0.0
2016-07-30,13:00,,1,2,76,,,
2016-07-30,13:30,,,,,,,0.0
2016-07-30,14:00,,1,2,78,,,
2016-07-30,14:30,,,,,,,0.0
2016-07-30,15:00,,1,3,78,,,
2016-07-30,15:30,,,,,,,0.0
2016-07-30,16:00,,1,4,78,,,
2016-07-30,16:30,,,,,,,0.0
2016-07-30,17:00,,1,5,80,,,
2016-07-30,17:30,,,,,,,0.0
2016-07-30,18:00,,1,4,82,,,
2016-07-30,18:30,,,,,,,0.0
2016-07-30,19:00,,1,7,80,,,
2016-07-30,19:30,,,,,,,0.0
2016-07-30,20:00,,1,10,73,,,
2016-07-30,20:30,,,,,,,0.0
2016-07-30,21:00,,1,20,58,,,
2016-07-30,21:30,,,,,,,0.0
2016-07-30,22:00,,1,18,51,,,
2016-07-30,22:30,,,,,,,0.0
2016-07-30,23:00,,1,19,44,,,
2016-07-30,23:30,,,,,,,0.0
2016-07-31,00:00,,1,27,27,,,
2016-07-31,00:30,,,,,,8.02,0.0
2016-07-31,01:00,,1,23,20,,,
2016-07-31,01:30,,,,,,,0.0
2016-07-31,02:00,,1,19,19,,,
2016-07-31,02:30,,,,,,,0.0
2016-07-31,03:00,,1,14,17,,,
2016-07-31,03:30,,,,,,,0.0
2016-07-31,04:00,,1,14,14,,,
2016-07-31,04:30,,,,,,,0.0
2016-07-31,05:00,,1,13,12,,,
2016-07-31,05:30,,,,,,,0.0
2016-07-31,06:00,,1,9,16,,,
2016-07-31,06:30,,,,,,,0.0
2016-07-31,07:00,,1,6,21,,,
2016-07-31,07:30,,,,,,,0.0
2016-07-31,08:00,,1,6,25,,,
2016-07-31,08:30,,,,,,,0.0
2016-07-31,09:00,,1,8,26,,,
2016-07-31,09:30,,,,,,,0.0
2016-07-31,10:00,,2,8,26,,,
2016-07-31,10:30,,,,,,,0.0
2016-07-31,11:00,,2,8,39,,,
2016-07-31,11:30,,,,,,,0.0
2016-07-31,12:00,,1,8,60,,,
2016-07-31,12:30,,,,,,,0.0
2016-07-31,13:00,,1,6,73,,,
2016-07-31,13:30,,,,,,,0.0
2016-07-31,14:00,,1,8,75,,,
2016-07-31,14:30,,,,,,,0.0
2016-07-31,15:00,,1,6,68,,,
2016-07-31,15:30,,,,,,,0.0
2016-07-31,16:00,,1,7,60,,,
2016-07-31,16:30,,,,,,,0.0
2016-07-31,17:00,,1,14,47,,,
2016-07-31,17:30,,,,,,,0.0
2016-07-31,18:00,,1,13,45,,,
2016-07-31,18:30,,,,,,,0.0
2016-07-31,19:00,,1,13,40,,,
2016-07-31,19:30,,,,,,,0.0
2016-07-31,20:00,,1,10,35,,,
2016-07-31,20:30,,,,,,,0.0
2016-07-31,21:00,,1,7,40,,,
2016-07-31,21:30,,,,,,,0.0
2016-07-31,22:00,,1,7,49,,,
2016-07-31,22:30,,,,,,,0.0
2016-07-31,23:00,,1,8,61,,,
2016-07-31,23:30,,,,,,,0.0
2016-08-01,00:00,,1,5,60,,,
2016-08-01,00:30,,,,,,5.79,0.0
2016-08-01,01:00,,1,3,57,,,
2016-08-01,01:30,,,,,,,0.0
2016-08-01,02:00,,1,7,48,,,
2016-08-01,02:30,,,,,,,0.0
2016-08-01,03:00,,1,6,48,,,
2016-08-01,03:30,,,,,,,0.0
2016-08-01,04:00,,1,8,40,,,
2016-08-01,04:30,,,,,,,0.0
2016-08-01,05:00,,1,8,40,,,
2016-08-01,05:30,,,,,,,0.0
2016-08-01,06:00,,1,16,34,,,
2016-08-01,06:30,,,,,,,0.0
2016-08-01,07:00,,2,17,35,,,
2016-08-01,07:30,,,,,,,0.0
2016-08-01,08:00,,2,12,42,,,
2016-08-01,08:30,,,,,,,0.0
2016-08-01,09:00,,2,10,49,,,
2016-08-01,09:30,,,,,,,0.0
2016-08-01,10:00,,2,8,57,,,
2016-08-01,10:30,,,,,,,0.0
2016-08-01,11:00,,1,8,61,,,
2016-08-01,11:30,,,,,,,0.0
2016-08-01,12:00,,6,9,65,,,
2016-08-01,12:30,,,,,,,0.0
2016-08-01,13:00,,1,6,69,,,
2016-08-01,13:30,,,,,,,0.0
2016-08-01,14:00,,1,4,72,,,
2016-08-01,14:30,,,,,,,0.0
2016-08-01,15:00,,1,5,70,,,
2016-08-01,15:30,,,,,,,0.0
2016-08-01,16:00,,1,5,73,,,
2016-08-01,16:30,,,,,,,0.0
2016-08-01,17:00,,2,7,75,,,
2016-08-01,17:30,,,,,,,0.0
2016-08-01,18:00,,1,7,57,,,
2016-08-01,18:30,,,,,,,0.0
2016-08-01,19:00,,1,8,48,,,
2016-08-01,19:30,,,,,,,0.0
2016-08-01,20:00,,1,8,38,,,
2016-08-01,20:30,,,,,,,0.0
2016-08-01,21:00,,1,25,7,,,
2016-08-01,21:30,,,,,,,0.0
2016-08-01,22:00,,1,24,26,,,
2016-08-01,22:30,,,,,,,0.0
2016-08-01,23:00,,1,31,26,,,
2016-08-01,23:30,,,,,,,0.0
2016-08-02,00:00,,1,16,25,,,
2016-08-02,00:30,,,,,,6.45,0.0
2016-08-02,01:00,,1,12,18,,,
2016-08-02,01:30,,,,,,,0.0
2016-08-02,02:00,,1,9,20,,,
2016-08-02,02:30,,,,,,,0.0
2016-08-02,03:00,,1,8,18,,,
2016-08-02,03:30,,,,,,,0.0
2016-08-02,04:00,,1,8,15,,,
2016-08-02,04:30,,,,,,,0.0
2016-08-02,05:00,,1,10,14,,,
2016-08-02,05:30,,,,,,,0.0
2016-08-02,06:00,,2,15,9,,,
2016-08-02,06:30,,,,,,,0.0
2016-08-02,07:00,,4,21,10,,,
2016-08-02,07:30,,,,,,,0.0
2016-08-02,08:00,,5,26,17,,,
2016-08-02,08:30,,,,,,,0.0
2016-08-02,09:00,,7,41,12,,,
2016-08-02,09:30,,,,,,,0.0
2016-08-02,10:00,,6,44,15,,,
2016-08-02,10:30,,,,,,,0.0
2016-08-02,11:00,,9,45,17,,,
2016-08-02,11:30,,,,,,,0.0
2016-08-02,12:00,,7,42,19,,,
2016-08-02,12:30,,,,,,,0.0
2016-08-02,13:00,,5,35,29,,,
2016-08-02,13:30,,,,,,,0.0
2016-08-02,14:00,,4,26,36,,,
