Datum,Zeit,BEN,NO,NO2,O3,PM10_Pb,PM2.5,SO2
dd-mm-yy,hh:mm,µg/m³,µg/m³,µg/m³,µg/m³,ng/m3,µg/m³,µg/m³
2016-08-06,00:30,,,,,,7.78,0.0
2016-08-06,01:00,,1,9,38,,,
2016-08-06,01:30,,,,,,,0.0
2016-08-06,02:00,,1,7,41,,,
2016-08-06,02:30,,,,,,,0.0
2016-08-06,03:00,,1,7,40,,,
2016-08-06,03:30,,,,,,,0.0
2016-08-06,04:00,,1,8,35,,,
2016-08-06,04:30,,,,,,,0.0
2016-08-06,05:00,,1,7,32,,,
2016-08-06,05:30,,,,,,,0.0
2016-08-06,06:00,,1,8,33,,,
2016-08-06,06:30,,,,,,,0.0
2016-08-06,07:00,,1,8,34,,,
2016-08-06,07:30,,,,,,,0.0
2016-08-06,08:00,,1,7,45,,,
2016-08-06,08:30,,,,,,,0.0
2016-08-06,09:00,,1,8,45,,,
2016-08-06,09:30,,,,,,,0.0
2016-08-06,10:00,,2,10,48,,,
2016-08-06,10:30,,,,,,,0.0
2016-08-06,11:00,,2,9,59,,,
2016-08-06,11:30,,,,,,,0.0
2016-08-06,12:00,,2,10,64,,,
2016-08-06,12:30,,,,,,,0.0
2016-08-06,13:00,,1,9,72,,,
2016-08-06,13:30,,,,,,,0.0
2016-08-06,14:00,,1,7,76,,,
2016-08-06,14:30,,,,,,,0.0
2016-08-06,15:00,,1,6,81,,,
2016-08-06,15:30,,,,,,,0.0
2016-08-06,16:00,,1,5,86,,,
2016-08-06,16:30,,,,,,,0.0
2016-08-06,17:00,,1,5,83,,,
2016-08-06,17:30,,,,,,,0.0
2016-08-06,18:00,,1,4,81,,,
2016-08-06,18:30,,,,,,,0.0
2016-08-06,19:00,,1,5,76,,,
2016-08-06,19:30,,,,,,,0.0
2016-08-06,20:00,,1,8,72,,,
2016-08-06,20:30,,,,,,,0.0
2016-08-06,21:00,,1,8,66,,,
2016-08-06,21:30,,,,,,,0.0
2016-08-06,22:00,,1,20,47,,,
2016-08-06,22:30,,,,,,,0.0
2016-08-06,23:00,,1,24,34,,,
2016-08-06,23:30,,,,,,,0.0
2016-08-07,00:00,,1,22,31,,,
2016-08-07,00:30,,,,,,7.71,0.0
2016-08-07,01:00,,1,15,35,,,
2016-08-07,01:30,,,,,,,0.0
2016-08-07,02:00,,1,17,28,,,
2016-08-07,02:30,,,,,,,0.0
2016-08-07,03:00,,1,21,14,,,
2016-08-07,03:30,,,,,,,0.0
2016-08-07,04:00,,1,13,9,,,
2016-08-07,04:30,,,,,,,0.0
2016-08-07,05:00,,1,10,10,,,
2016-08-07,05:30,,,,,,,0.0
2016-08-07,06:00,,1,9,12,,,
2016-08-07,06:30,,,,,,,0.0
2016-08-07,07:00,,2,8,14,,,
2016-08-07,07:30,,,,,,,0.0
2016-08-07,08:00,,1,7,39,,,
2016-08-07,08:30,,,,,,,0.0
2016-08-07,09:00,,1,6,61,,,
2016-08-07,09:30,,,,,,,0.0
2016-08-07,10:00,,1,7,73,,,
2016-08-07,10:30,,,,,,,0.0
2016-08-07,11:00,,1,4,82,,,
2016-08-07,11:30,,,,,,,0.0
2016-08-07,12:00,,1,3,82,,,
2016-08-07,12:30,,,,,,,0.0
2016-08-07,13:00,,1,2,83,,,
2016-08-07,13:30,,,,,,,0.0
2016-08-07,14:00,,1,2,85,,,
2016-08-07,14:30,,,,,,,0.0
2016-08-07,15:00,,1,2,89,,,
2016-08-07,15:30,,,,,,,0.0
2016-08-07,16:00,,1,3,92,,,
2016-08-07,16:30,,,,,,,0.0
2016-08-07,17:00,,1,2,93,,,
2016-08-07,17:30,,,,,,,0.0
2016-08-07,18:00,,1,4,90,,,
2016-08-07,18:30,,,,,,,0.0
2016-08-07,19:00,,1,8,79,,,
2016-08-07,19:30,,,,,,,0.0
2016-08-07,20:00,,1,40,39,,,
2016-08-07,20:30,,,,,,,0.0
2016-08-07,21:00,,3,65,9,,,
2016-08-07,21:30,,,,,,,0.0
2016-08-07,22:00,,2,45,18,,,
2016-08-07,22:30,,,,,,,0.0
2016-08-07,23:00,,1,18,32,,,
2016-08-07,23:30,,,,,,,0.0
2016-08-08,00:00,,1,11,36,,,
2016-08-08,00:30,,,,,,6.28,0.0
2016-08-08,01:00,,1,9,35,,,
2016-08-08,01:30,,,,,,,0.0
2016-08-08,02:00,,1,7,38,,,
2016-08-08,02:30,,,,,,,0.0
2016-08-08,03:00,,1,7,38,,,
2016-08-08,03:30,,,,,,,0.0
2016-08-08,04:00,,1,9,31,,,
2016-08-08,04:30,,,,,,,0.0
2016-08-08,05:00,,1,14,30,,,
2016-08-08,05:30,,,,,,,0.0
2016-08-08,06:00,,2,24,22,,,
2016-08-08,06:30,,,,,,,0.0
2016-08-08,07:00,,7,31,20,,,
2016-08-08,07:30,,,,,,,0.0
2016-08-08,08:00,,9,33,32,,,
2016-08-08,08:30,,,,,,,0.0
2016-08-08,09:00,,1,7,91,,,
2016-08-08,09:30,,,,,,,0.0
2016-08-08,10:00,,1,5,99,,,
2016-08-08,10:30,,,,,,,0.0
2016-08-08,11:00,,1,4,95,,,
2016-08-08,11:30,,,,,,,0.0
2016-08-08,12:00,,1,5,89,,,
2016-08-08,12:30,,,,,,,0.0
2016-08-08,13:00,,2,5,78,,,
2016-08-08,13:30,,,,,,,0.0
2016-08-08,14:00,,1,4,89,,,
2016-08-08,14:30,,,,,,,0.0
2016-08-08,15:00,,1,5,90,,,
2016-08-08,15:30,,,,,,,0.0
2016-08-08,16:00,,1,6,86,,,
2016-08-08,16:30,,,,,,,0.0
2016-08-08,17:00,,1,6,88,,,
2016-08-08,17:30,,,,,,,0.0
2016-08-08,18:00,,1,5,96,,,
2016-08-08,18:30,,,,,,,0.0
2016-08-08,19:00,,1,7,94,,,
2016-08-08,19:30,,,,,,,0.0
2016-08-08,20:00,,1,13,82,,,
2016-08-08,20:30,,,,,,,0.0
2016-08-08,21:00,,1,9,78,,,
2016-08-08,21:30,,,,,,,0.0
2016-08-08,22:00,,1,8,64,,,
2016-08-08,22:30,,,,,,,0.0
2016-08-08,23:00,,1,9,56,,,
2016-08-08,23:30,,,,,,,0.0
2016-08-09,00:00,,1,6,53,,,
2016-08-09,00:30,,,,,,7.64,0.0
2016-08-09,01:00,,1,8,49,,,
2016-08-09,01:30,,,,,,,0.0
2016-08-09,02:00,,1,7,56,,,
2016-08-09,02:30,,,,,,,0.0
2016-08-09,03:00,,1,7,53,,,
2016-08-09,03:30,,,,,,,0.0
2016-08-09,04:00,,1,8,50,,,
2016-08-09,04:30,,,,,,,0.0
2016-08-09,05:00,,1,10,46,,,
2016-08-09,05:30,,,,,,,0.0
2016-08-09,06:00,,1,18,38,,,
2016-08-09,06:30,,,,,,,0.0
2016-08-09,07:00,,1,19,37,,,
2016-08-09,07:30,,,,,,,0.0
2016-08-09,08:00,,1,26,36,,,
2016-08-09,08:30,,,,,,,0.0
2016-08-09,09:00,,1,13,56,,,
2016-08-09,09:30,,,,,,,0.0
2016-08-09,10:00,,1,20,42,,,
2016-08-09,10:30,,,,,,,0.0
2016-08-09,11:00,,2,18,35,,,
2016-08-09,11:30,,,,,,,0.0
2016-08-09,12:00,,2,14,34,,,
2016-08-09,12:30,,,,,,,0.0
2016-08-09,13:00,,3,14,39,,,
2016-08-09,13:30,,,,,,,0.0
2016-08-09,14:00,,3,14,42,,,
2016-08-09,14:30,,,,,,,0.0
2016-08-09,15:00,,2,12,56,,,
2016-08-09,15:30,,,,,,,0.0
2016-08-09,16:00,,1,7,72,,,
2016-08-09,16:30,,,,,,,0.0
2016-08-09,17:00,,1,8,74,,,
2016-08-09,17:30,,,,,,,0.0
2016-08-09,18:00,,1,9,74,,,
2016-08-09,18:30,,,,,,,0.0
2016-08-09,19:00,,1,11,70,,,
2016-08-09,19:30,,,,,,,0.0
2016-08-09,20:00,,1,20,54,,,
2016-08-09,20:30,,,,,,,0.0
2016-08-09,21:00,,1,27,38,,,
2016-08-09,21:30,,,,,,,0.0
2016-08-09,22:00,,1,20,39,,,
2016-08-09,22:30,,,,,,,0.0
2016-08-09,23:00,,1,9,54,,,
2016-08-09,23:30,,,,,,,0.0
2016-08-10,00:00,,1,10,48,,,
2016-08-10,00:30,,,,,,3.47,0.0
2016-08-10,01:00,,1,11,46,,,
2016-08-10,01:30,,,,,,,0.0
2016-08-10,02:00,,1,6,51,,,
2016-08-10,02:30,,,,,,,0.0
2016-08-10,03:00,,1,8,47,,,
2016-08-10,03:30,,,,,,,0.0
2016-08-10,04:00,,1,11,43,,,
2016-08-10,04:30,,,,,,,0.0
2016-08-10,05:00,,1,16,35,,,
2016-08-10,05:30,,,,,,,0.0
2016-08-10,06:00,,1,16,32,,,
2016-08-10,06:30,,,,,,,0.0
2016-08-10,07:00,,3,29,24,,,
2016-08-10,07:30,,,,,,,0.0
2016-08-10,08:00,,6,21,33,,,
2016-08-10,08:30,,,,,,,0.0
2016-08-10,09:00,,7,19,36,,,
2016-08-10,09:30,,,,,,,0.0
2016-08-10,10:00,,2,14,38,,,
2016-08-10,10:30,,,,,,,0.0
2016-08-10,11:00,,1,12,38,,,
2016-08-10,11:30,,,,,,,0.0
2016-08-10,12:00,,4,15,34,,,
2016-08-10,12:30,,,,,,,0.0
2016-08-10,13:00,,3,18,33,,,
2016-08-10,13:30,,,,,,,0.0
2016-08-10,14:00,,4,20,31,,,
2016-08-10,14:30,,,,,,,0.0
2016-08-10,15:00,,3,10,47,,,
2016-08-10,15:30,,,,,,,0.0
2016-08-10,16:00,,2,7,54,,,
2016-08-10,16:30,,,,,,,0.0
2016-08-10,17:00,,1,11,50,,,
2016-08-10,17:30,,,,,,,0.0
2016-08-10,18:00,,2,16,44,,,
2016-08-10,18:30,,,,,,,0.0
2016-08-10,19:00,,1,14,42,,,
2016-08-10,19:30,,,,,,,0.0
2016-08-10,20:00,,1,13,39,,,
2016-08-10,20:30,,,,,,,0.0
2016-08-10,21:00,,1,22,24,,,
2016-08-10,21:30,,,,,,,0.0
2016-08-10,22:00,,1,13,29,,,
2016-08-10,22:30,,,,,,,0.0
2016-08-10,23:00,,1,15,28,,,
2016-08-10,23:30,,,,,,,0.0
2016-08-11,00:00,,1,13,27,,,
2016-08-11,00:30,,,,,,4.03,0.0
2016-08-11,01:00,,1,10,28,,,
2016-08-11,01:30,,,,,,,0.0
2016-08-11,02:00,,1,6,34,,,
2016-08-11,02:30,,,,,,,0.0
2016-08-11,03:00,,1,7,33,,,
2016-08-11,03:30,,,,,,,0.0
2016-08-11,04:00,,1,7,31,,,
2016-08-11,04:30,,,,,,,0.0
2016-08-11,05:00,,1,13,25,,,
2016-08-11,05:30,,,,,,,0.0
2016-08-11,06:00,,2,20,20,,,
2016-08-11,06:30,,,,,,,0.0
2016-08-11,07:00,,4,20,23,,,
2016-08-11,07:30,,,,,,,0.0
2016-08-11,08:00,,5,16,21,,,
2016-08-11,08:30,,,,,,,0.0
2016-08-11,09:00,,11,14,34,,,
2016-08-11,09:30,,,,,,,0.0
2016-08-11,10:00,,3,10,40,,,
2016-08-11,10:30,,,,,,,0.0
2016-08-11,11:00,,2,8,46,,,
2016-08-11,11:30,,,,,,,0.0
2016-08-11,12:00,,2,8,49,,,
2016-08-11,12:30,,,,,,,0.0
2016-08-11,13:00,,1,5,54,,,
2016-08-11,13:30,,,,,,,0.0
2016-08-11,14:00,,1,6,57,,,
2016-08-11,14:30,,,,,,,0.0
2016-08-11,15:00,,1,4,66,,,
2016-08-11,15:30,,,,,,,0.0
2016-08-11,16:00,,1,5,66,,,
2016-08-11,16:30,,,,,,,0.0
2016-08-11,17:00,,1,7,66,,,
2016-08-11,17:30,,,,,,,0.0
2016-08-11,18:00,,1,8,66,,,
2016-08-11,18:30,,,,,,,0.0
2016-08-11,19:00,,1,10,62,,,
2016-08-11,19:30,,,,,,,0.0
2016-08-11,20:00,,1,23,46,,,
2016-08-11,20:30,,,,,,,0.0
2016-08-11,21:00,,1,23,38,,,
2016-08-11,21:30,,,,,,,0.0
2016-08-11,22:00,,1,16,40,,,
2016-08-11,22:30,,,,,,,0.0
2016-08-11,23:00,,1,23,32,,,
2016-08-11,23:30,,,,,,,0.0
2016-08-12,00:00,,1,18,29,,,
2016-08-12,00:30,,,,,,3.58,0.0
2016-08-12,01:00,,1,12,24,,,
2016-08-12,01:30,,,,,,,0.0
2016-08-12,02:00,,1,9,23,,,
2016-08-12,02:30,,,,,,,0.0
2016-08-12,03:00,,1,8,30,,,
2016-08-12,03:30,,,,,,,0.0
2016-08-12,04:00,,1,4,57,,,
2016-08-12,04:30,,,,,,,0.0
2016-08-12,05:00,,1,6,54,,,
2016-08-12,05:30,,,,,,,0.0
2016-08-12,06:00,,1,9,52,,,
2016-08-12,06:30,,,,,,,0.0
2016-08-12,07:00,,1,13,47,,,
2016-08-12,07:30,,,,,,,0.0
2016-08-12,08:00,,1,10,48,,,
2016-08-12,08:30,,,,,,,0.0
2016-08-12,09:00,,2,9,46,,,
2016-08-12,09:30,,,,,,,0.0
2016-08-12,10:00,,1,8,45,,,
2016-08-12,10:30,,,,,,,0.0
2016-08-12,11:00,,1,7,44,,,
2016-08-12,11:30,,,,,,,0.0
2016-08-12,12:00,,2,8,40,,,
2016-08-12,12:30,,,,,,,0.0
2016-08-12,13:00,,2,13,31,,,
2016-08-12,13:30,,,,,,,0.0
2016-08-12,14:00,,1,11,31,,,
2016-08-12,14:30,,,,,,,0.0
2016-08-12,15:00,,2,11,32,,,
2016-08-12,15:30,,,,,,,0.0
2016-08-12,16:00,,2,9,34,,,
2016-08-12,16:30,,,,,,,0.0
2016-08-12,17:00,,2,11,28,,,
2016-08-12,17:30,,,,,,,0.0
2016-08-12,18:00,,2,16,16,,,
2016-08-12,18:30,,,,,,,0.0
2016-08-12,19:00,,5,22,9,,,
2016-08-12,19:30,,,,,,,0.0
2016-08-12,20:00,,3,26,3,,,
2016-08-12,20:30,,,,,,,0.0
2016-08-12,21:00,,5,25,4,,,
2016-08-12,21:30,,,,,,,0.0
2016-08-12,22:00,,1,14,13,,,
2016-08-12,22:30,,,,,,,0.0
2016-08-12,23:00,,1,11,13,,,
2016-08-12,23:30,,,,,,,0.0
2016-08-13,00:00,,1,10,12,,,
2016-08-13,00:30,,,,,,6.50,0.0
2016-08-13,01:00,,1,10,12,,,
2016-08-13,01:30,,,,,,,0.0
2016-08-13,02:00,,1,9,13,,,
2016-08-13,02:30,,,,,,,0.0
2016-08-13,03:00,,1,8,13,,,
2016-08-13,03:30,,,,,,,0.0
2016-08-13,04:00,,1,9,11,,,
2016-08-13,04:30,,,,,,,0.0
2016-08-13,05:00,,1,9,12,,,
2016-08-13,05:30,,,,,,,0.0
2016-08-13,06:00,,1,11,9,,,
2016-08-13,06:30,,,,,,,0.0
2016-08-13,07:00,,2,8,13,,,
2016-08-13,07:30,,,,,,,0.0
2016-08-13,08:00,,2,7,16,,,
2016-08-13,08:30,,,,,,,0.0
2016-08-13,09:00,,2,7,20,,,
2016-08-13,09:30,,,,,,,0.0
2016-08-13,10:00,,2,5,30,,,
2016-08-13,10:30,,,,,,,0.0
2016-08-13,11:00,,1,2,43,,,
2016-08-13,11:30,,,,,,,0.0
2016-08-13,12:00,,1,2,49,,,
2016-08-13,12:30,,,,,,,0.0
2016-08-13,13:00,,1,1,57,,,
2016-08-13,13:30,,,,,,,0.0
2016-08-13,14:00,,1,2,66,,,
2016-08-13,14:30,,,,,,,0.0
2016-08-13,15:00,,1,1,72,,,
2016-08-13,15:30,,,,,,,0.0
2016-08-13,16:00,,1,1,75,,,
2016-08-13,16:30,,,,,,,0.0
2016-08-13,17:00,,1,2,76,,,
2016-08-13,17:30,,,,,,,0.0
2016-08-13,18:00,,1,3,79,,,
2016-08-13,18:30,,,,,,,0.0
2016-08-13,19:00,,1,4,76,,,
2016-08-13,19:30,,,,,,,0.0
2016-08-13,20:00,,1,9,68,,,
2016-08-13,20:30,,,,,,,0.0
2016-08-13,21:00,,1,9,64,,,
2016-08-13,21:30,,,,,,,0.0
2016-08-13,22:00,,1,9,65,,,
2016-08-13,22:30,,,,,,,0.0
2016-08-13,23:00,,1,12,59,,,
2016-08-13,23:30,,,,,,,0.0
2016-08-14,00:00,,1,13,56,,,
2016-08-14,00:30,,,,,,8.71,0.0
2016-08-14,01:00,,1,12,57,,,
2016-08-14,01:30,,,,,,,0.0
2016-08-14,02:00,,1,8,58,,,
2016-08-14,02:30,,,,,,,0.0
2016-08-14,03:00,,1,8,53,,,
2016-08-14,03:30,,,,,,,0.0
2016-08-14,04:00,,1,6,52,,,
2016-08-14,04:30,,,,,,,0.0
2016-08-14,05:00,,1,6,44,,,
2016-08-14,05:30,,,,,,,0.0
2016-08-14,06:00,,1,11,35,,,
2016-08-14,06:30,,,,,,,0.0
2016-08-14,07:00,,1,14,27,,,
2016-08-14,07:30,,,,,,,0.0
2016-08-14,08:00,,1,10,37,,,
2016-08-14,08:30,,,,,,,0.0
2016-08-14,09:00,,1,6,49,,,
2016-08-14,09:30,,,,,,,0.0
2016-08-14,10:00,,1,6,58,,,
2016-08-14,10:30,,,,,,,0.0
2016-08-14,11:00,,1,5,68,,,
2016-08-14,11:30,,,,,,,0.0
2016-08-14,12:00,,1,4,72,,,
2016-08-14,12:30,,,,,,,0.0
2016-08-14,13:00,,1,4,73,,,
2016-08-14,13:30,,,,,,,0.0
2016-08-14,14:00,,1,4,78,,,
2016-08-14,14:30,,,,,,,0.0
2016-08-14,15:00,,1,3,81,,,
2016-08-14,15:30,,,,,,,0.0
2016-08-14,16:00,,1,2,79,,,
2016-08-14,16:30,,,,,,,0.0
2016-08-14,17:00,,1,2,80,,,
2016-08-14,17:30,,,,,,,0.0
2016-08-14,18:00,,1,4,76,,,
2016-08-14,18:30,,,,,,,0.0
2016-08-14,19:00,,1,5,72,,,
2016-08-14,19:30,,,,,,,0.0
2016-08-14,20:00,,1,7,66,,,
2016-08-14,20:30,,,,,,,0.0
2016-08-14,21:00,,1,17,49,,,
2016-08-14,21:30,,,,,,,0.0
2016-08-14,22:00,,1,19,40,,,
2016-08-14,22:30,,,,,,,0.0
2016-08-14,23:00,,1,21,30,,,
2016-08-14,23:30,,,,,,,0.0
2016-08-15,00:00,,1,22,24,,,
2016-08-15,00:30,,,,,,6.42,0.0
2016-08-15,01:00,,1,20,19,,,
2016-08-15,01:30,,,,,,,0.0
2016-08-15,02:00,,1,14,19,,,
2016-08-15,02:30,,,,,,,0.0
2016-08-15,03:00,,1,15,13,,,
2016-08-15,03:30,,,,,,,0.0
2016-08-15,04:00,,1,18,9,,,
2016-08-15,04:30,,,,,,,0.0
2016-08-15,05:00,,2,23,4,,,
2016-08-15,05:30,,,,,,,0.0
2016-08-15,06:00,,10,23,2,,,
2016-08-15,06:30,,,,,,,0.0
2016-08-15,07:00,,21,27,5,,,
2016-08-15,07:30,,,,,,,0.0
2016-08-15,08:00,,32,28,5,,,
2016-08-15,08:30,,,,,,,0.0
2016-08-15,09:00,,28,36,11,,,
2016-08-15,09:30,,,,,,,0.0
2016-08-15,10:00,,14,27,27,,,
2016-08-15,10:30,,,,,,,0.0
2016-08-15,11:00,,6,16,45,,,
2016-08-15,11:30,,,,,,,0.0
2016-08-15,12:00,,1,5,64,,,
2016-08-15,12:30,,,,,,,0.0
2016-08-15,13:00,,7,9,64,,,
2016-08-15,13:30,,,,,,,0.0
2016-08-15,14:00,,1,4,70,,,
2016-08-15,14:30,,,,,,,0.0
2016-08-15,15:00,,1,5,72,,,
2016-08-15,15:30,,,,,,,0.0
2016-08-15,16:00,,1,7,70,,,
2016-08-15,16:30,,,,,,,0.0
2016-08-15,17:00,,1,6,70,,,
2016-08-15,17:30,,,,,,,0.0
2016-08-15,18:00,,3,6,70,,,
2016-08-15,18:30,,,,,,,0.0
2016-08-15,19:00,,1,5,72,,,
2016-08-15,19:30,,,,,,,0.0
2016-08-15,20:00,,1,14,54,,,
2016-08-15,20:30,,,,,,,0.0
2016-08-15,21:00,,1,26,34,,,
2016-08-15,21:30,,,,,,,0.0
2016-08-15,22:00,,1,28,27,,,
2016-08-15,22:30,,,,,,,0.0
2016-08-15,23:00,,1,24,26,,,
2016-08-15,23:30,,,,,,,0.0
2016-08-16,00:00,,1,25,21,,,
2016-08-16,00:30,,,,,,5.44,0.0
2016-08-16,01:00,,1,24,13,,,
2016-08-16,01:30,,,,,,,0.0
2016-08-16,02:00,,1,20,12,,,
2016-08-16,02:30,,,,,,,0.0
2016-08-16,03:00,,1,17,13,,,
2016-08-16,03:30,,,,,,,0.0
2016-08-16,04:00,,1,18,8,,,
2016-08-16,04:30,,,,,,,0.0
2016-08-16,05:00,,1,17,7,,,
2016-08-16,05:30,,,,,,,0.0
2016-08-16,06:00,,7,20,4,,,
2016-08-16,06:30,,,,,,,0.0
2016-08-16,07:00,,14,20,7,,,
2016-08-16,07:30,,,,,,,0.0
2016-08-16,08:00,,14,26,14,,,
2016-08-16,08:30,,,,,,,0.0
2016-08-16,09:00,,20,31,21,,,
2016-08-16,09:30,,,,,,,0.0
2016-08-16,10:00,,8,25,41,,,
2016-08-16,10:30,,,,,,,0.0
2016-08-16,11:00,,2,8,64,,,
2016-08-16,11:30,,,,,,,0.0
2016-08-16,12:00,,1,4,72,,,
2016-08-16,12:30,,,,,,,0.0
2016-08-16,13:00,,1,4,75,,,
2016-08-16,13:30,,,,,,,0.0
2016-08-16,14:00,,1,4,75,,,
2016-08-16,14:30,,,,,,,0.0
2016-08-16,15:00,,1,5,75,,,
2016-08-16,15:30,,,,,,,0.0
2016-08-16,16:00,,1,4,76,,,
2016-08-16,16:30,,,,,,,0.0
2016-08-16,17:00,,1,4,76,,,
2016-08-16,17:30,,,,,,,0.0
2016-08-16,18:00,,1,7,72,,,
2016-08-16,18:30,,,,,,,0.0
2016-08-16,19:00,,1,9,69,,,
2016-08-16,19:30,,,,,,,0.0
2016-08-16,20:00,,1,14,59,,,
2016-08-16,20:30,,,,,,,0.0
2016-08-16,21:00,,1,27,39,,,
2016-08-16,21:30,,,,,,,0.0
2016-08-16,22:00,,1,19,42,,,
2016-08-16,22:30,,,,,,,0.0
2016-08-16,23:00,,1,7,51,,,
2016-08-16,23:30,,,,,,,0.0
2016-08-17,00:00,,1,3,59,,,
2016-08-17,00:30,,,,,,6.93,0.0
2016-08-17,01:00,,1,3,55,,,
2016-08-17,01:30,,,,,,,0.0
2016-08-17,02:00,,1,4,48,,,
2016-08-17,02:30,,,,,,,0.0
2016-08-17,03:00,,1,10,34,,,
2016-08-17,03:30,,,,,,,0.0
2016-08-17,04:00,,1,7,36,,,
2016-08-17,04:30,,,,,,,0.0
2016-08-17,05:00,,1,7,36,,,
2016-08-17,05:30,,,,,,,0.0
2016-08-17,06:00,,1,14,29,,,
2016-08-17,06:30,,,,,,,0.0
2016-08-17,07:00,,2,19,27,,,
2016-08-17,07:30,,,,,,,0.0
2016-08-17,08:00,,4,18,32,,,
2016-08-17,08:30,,,,,,,0.0
2016-08-17,09:00,,3,17,38,,,
2016-08-17,09:30,,,,,,,0.0
2016-08-17,10:00,,4,14,40,,,
2016-08-17,10:30,,,,,,,0.0
2016-08-17,11:00,,4,12,47,,,
2016-08-17,11:30,,,,,,,0.0
2016-08-17,12:00,,3,11,53,,,
2016-08-17,12:30,,,,,,,0.0
2016-08-17,13:00,,1,7,61,,,
2016-08-17,13:30,,,,,,,0.0
2016-08-17,14:00,,2,8,61,,,
2016-08-17,14:30,,,,,,,0.0
2016-08-17,15:00,,2,10,61,,,
2016-08-17,15:30,,,,,,,0.0
2016-08-17,16:00,,2,10,65,,,
2016-08-17,16:30,,,,,,,0.0
2016-08-17,17:00,,2,11,66,,,
2016-08-17,17:30,,,,,,,0.0
2016-08-17,18:00,,1,12,65,,,
2016-08-17,18:30,,,,,,,0.0
2016-08-17,19:00,,1,8,67,,,
2016-08-17,19:30,,,,,,,0.0
2016-08-17,20:00,,1,23,48,,,
2016-08-17,20:30,,,,,,,0.0
2016-08-17,21:00,,1,45,18,,,
2016-08-17,21:30,,,,,,,0.0
2016-08-17,22:00,,1,27,26,,,
2016-08-17,22:30,,,,,,,0.0
2016-08-17,23:00,,1,26,21,,,
2016-08-17,23:30,,,,,,,0.0
2016-08-18,00:00,,1,21,17,,,
2016-08-18,00:30,,,,,,9.20,0.0
2016-08-18,01:00,,1,19,13,,,
2016-08-18,01:30,,,,,,,0.0
2016-08-18,02:00,,1,20,9,,,
2016-08-18,02:30,,,,,,,0.0
2016-08-18,03:00,,1,14,12,,,
2016-08-18,03:30,,,,,,,0.0
2016-08-18,04:00,,1,15,8,,,
2016-08-18,04:30,,,,,,,0.0
2016-08-18,05:00,,2,16,6,,,
2016-08-18,05:30,,,,,,,0.0
2016-08-18,06:00,,7,17,3,,,
2016-08-18,06:30,,,,,,,0.0
2016-08-18,07:00,,18,19,5,,,
2016-08-18,07:30,,,,,,,0.0
2016-08-18,08:00,,21,19,9,,,
2016-08-18,08:30,,,,,,,0.0
2016-08-18,09:00,,18,21,15,,,
2016-08-18,09:30,,,,,,,0.0
2016-08-18,10:00,,4,14,51,,,
2016-08-18,10:30,,,,,,,0.0
2016-08-18,11:00,,2,8,74,,,
2016-08-18,11:30,,,,,,,0.0
2016-08-18,12:00,,2,13,77,,,
2016-08-18,12:30,,,,,,,0.0
2016-08-18,13:00,,2,13,80,,,
2016-08-18,13:30,,,,,,,0.0
2016-08-18,14:00,,2,12,87,,,
2016-08-18,14:30,,,,,,,0.0
2016-08-18,15:00,,1,10,94,,,
2016-08-18,15:30,,,,,,,0.0
2016-08-18,16:00,,1,9,100,,,
2016-08-18,16:30,,,,,,,0.0
2016-08-18,17:00,,1,11,102,,,
2016-08-18,17:30,,,,,,,0.0
2016-08-18,18:00,,1,11,100,,,
2016-08-18,18:30,,,,,,,0.0
2016-08-18,19:00,,1,13,92,,,
2016-08-18,19:30,,,,,,,0.0
2016-08-18,20:00,,1,27,69,,,
2016-08-18,20:30,,,,,,,0.0
2016-08-18,21:00,,1,51,35,,,
2016-08-18,21:30,,,,,,,0.0
2016-08-18,22:00,,1,43,29,,,
2016-08-18,22:30,,,,,,,0.0
2016-08-18,23:00,,1,34,28,,,
2016-08-18,23:30,,,,,,,0.0
2016-08-19,00:00,,1,31,24,,,
2016-08-19,00:30,,,,,,11.41,0.0
2016-08-19,01:00,,1,21,28,,,
2016-08-19,01:30,,,,,,,0.0
2016-08-19,02:00,,1,23,18,,,
2016-08-19,02:30,,,,,,,0.0
2016-08-19,03:00,,1,16,29,,,
2016-08-19,03:30,,,,,,,0.0
2016-08-19,04:00,,1,12,31,,,
2016-08-19,04:30,,,,,,,0.0
2016-08-19,05:00,,1,18,22,,,
2016-08-19,05:30,,,,,,,0.0
2016-08-19,06:00,,6,34,9,,,
2016-08-19,06:30,,,,,,,0.0
2016-08-19,07:00,,7,29,15,,,
2016-08-19,07:30,,,,,,,0.0
2016-08-19,08:00,,15,31,16,,,
2016-08-19,08:30,,,,,,,0.0
2016-08-19,09:00,,9,31,26,,,
2016-08-19,09:30,,,,,,,0.0
2016-08-19,10:00,,4,20,55,,,
2016-08-19,10:30,,,,,,,0.0
2016-08-19,11:00,,3,17,76,,,
2016-08-19,11:30,,,,,,,0.0
2016-08-19,12:00,,1,14,96,,,
2016-08-19,12:30,,,,,,,0.0
2016-08-19,13:00,,1,9,116,,,
2016-08-19,13:30,,,,,,,0.0
2016-08-19,14:00,,1,8,128,,,
2016-08-19,14:30,,,,,,,0.0
2016-08-19,15:00,,1,9,133,,,
2016-08-19,15:30,,,,,,,0.0
2016-08-19,16:00,,1,9,133,,,
2016-08-19,16:30,,,,,,,0.0
2016-08-19,17:00,,1,10,136,,,
2016-08-19,17:30,,,,,,,0.0
2016-08-19,18:00,,1,15,126,,,
