Bautzen
Zwickau-Werdauer Straße
Dresden-Winckelmannstr.
Radebeul-Wahnsdorf
Brockau
Collmberg
Niesky
Chemnitz-Leipziger Str.
Leipzig-Luetzner Straße
Dresden-Nord
Plauen-DWD
Glauchau
Schkeuditz
Fichtelberg
Freiberg
Borna
Goerlitz
Zinnwald
Leipzig-West
Zittau-Ost
Leipzig-Thekla
Plauen-Sued
Klingenthal
Dresden-Bergstraße
Schwartenberg
Chemnitz-Mitte
Leipzig-Mitte
Chemnitz-Hans-Link-Straße
Annaberg-Buchholz
Carlsfeld
